model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5579722471992029,0.4119706446799725,0.6563335114911811,0.0654096090337701,0.1189634294017922,0.5532868272315291,0.9712625698324022,0.7049778599581529
china,0.5318675201781241,0.40306465135427505,0.5127118644067796,0.07168246445497631,0.1257796257796258,0.5332141793267798,0.9396325459317585,0.6803496769289243
hindi,0.4753406878650227,0.3850423552032506,0.8765432098765432,0.0816561242093157,0.14939505523408733,0.45308219178082193,0.9851079672375279,0.6206896551724138
spanish,0.5824485733244857,0.4138392114661692,0.6376146788990825,0.053938688397361274,0.09946332737030411,0.5803786574870913,0.9771080846131556,0.7282150955620343
korean,0.6134453781512605,0.413337620234172,0.5675675675675675,0.03770197486535009,0.0707070707070707,0.6146657081236521,0.981630309988519,0.7559681697612732
portuguese,0.7455108359133127,0.47039843488820576,0.39215686274509803,0.05,0.08869179600886919,0.7570332480818415,0.974485596707819,0.8521050737675423
germany,0.5482692642198643,0.4111769537100303,0.6608391608391608,0.07028635180364448,0.12705882352941175,0.5423759838916347,0.9683006535947712,0.6952950838906489
turkey,0.7395517867958813,0.4274019228287521,0.6666666666666666,0.0023228803716608595,0.004629629629629629,0.7396180660806305,0.9995903318312167,0.8501742160278746
english,0.44721906923950056,0.36665055203473096,0.6786389413988658,0.07852143482064741,0.14075671436973142,0.43067567567567566,0.9493595472147751,0.5925443896997304
france,0.527265100671141,0.4043391883991525,0.8613861386138614,0.0725,0.1337432744043044,0.5124835742444153,0.9881756756756757,0.6749351023940006
bengali,0.6581920903954802,0.42880807212760125,0.36619718309859156,0.036775106082036775,0.06683804627249357,0.6682903068679981,0.9682427664079041,0.7907780979827089
italy,0.5315641334941696,0.4123928742149551,0.7214285714285714,0.08231458842705787,0.14776883686905634,0.5202386024712399,0.969047619047619,0.6770169115608539
