model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5620063671049114,0.4285088609907154,0.6509851226377161,0.0862362842228614,0.15229763416584358,0.5562826548031659,0.9612067039106146,0.7047200878155873
china,0.538268856109101,0.41600491745153506,0.5555555555555556,0.08590047393364929,0.1487942534633145,0.5369147659063626,0.9391076115485564,0.6832155814397556
hindi,0.4834523036988968,0.4051808747939094,0.8266666666666667,0.10695802185163887,0.1894093686354379,0.45642282114105703,0.9709605361131795,0.6209523809523809
spanish,0.5812873258128732,0.43542067799367445,0.5684754521963824,0.08537058595265813,0.1484480431848853,0.5821662825740117,0.9516082294986961,0.7223933128024637
korean,0.6211484593837535,0.44659092537142364,0.6159420289855072,0.0763016157989228,0.13578274760383385,0.6214128035320088,0.9695752009184845,0.7573991031390135
portuguese,0.7479876160990712,0.4716201996622189,0.425531914893617,0.05,0.0894854586129754,0.7576530612244898,0.9777777777777777,0.8537549407114624
germany,0.5519220734040703,0.4271572526491816,0.649867374005305,0.09111193752324284,0.1598173515981735,0.5450483991064781,0.9568627450980393,0.6944971537001897
turkey,0.7437916414294367,0.466769132802067,0.6229508196721312,0.04413472706155633,0.0824295010845987,0.746066029003394,0.9905776321179844,0.8511087645195353
english,0.4510026485054862,0.37543630192327426,0.6828046744574291,0.0894575678040245,0.15818990524076582,0.4320600272851296,0.9434018468871016,0.5926826986057827
france,0.5314597315436241,0.417357356450628,0.8217054263565892,0.08833333333333333,0.1595184349134688,0.5148558758314856,0.9805743243243243,0.6751962779877871
bengali,0.666195856873823,0.43711460664413754,0.4838709677419355,0.042432814710042434,0.07802340702210664,0.6716779825412221,0.9774170783345095,0.7962058062661684
italy,0.53437876960193,0.43125524321403685,0.6716417910447762,0.1100244498777506,0.18907563025210083,0.5223097112860893,0.9476190476190476,0.6734348561759729
