model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6344747138448079,0.5818155447071433,0.740126077447575,0.3064344305955044,0.4334199721249105,0.6098693672099712,0.9097206703910614,0.7302111172893759
china,0.5738936821597551,0.5464383688485168,0.5768854064642507,0.34893364928909953,0.4348468069398302,0.5727060653188181,0.7732283464566929,0.6580299307572035
hindi,0.7099286177806619,0.7090010950052216,0.8614200171086399,0.57906843013226,0.6925722145804677,0.6173549398849973,0.8793745346239762,0.7254299754299754
spanish,0.6249170537491705,0.5353144670974517,0.6965174129353234,0.2173069460613116,0.33126293995859213,0.6138973966309341,0.9292958562735439,0.7393659942363112
korean,0.6355042016806722,0.5137785286101759,0.6166134185303515,0.1732495511669659,0.27049754730203224,0.6378293354305938,0.931113662456946,0.7570595099183197
portuguese,0.7479876160990712,0.49945590135708634,0.45454545454545453,0.0875,0.14675052410901468,0.7626788036410923,0.9654320987654321,0.852161278605158
germany,0.6221951643764133,0.5663547795328028,0.7592778335005015,0.28151729267385645,0.4107433532284319,0.5934343434343434,0.9215686274509803,0.7219662058371735
turkey,0.7389460932768019,0.45269946506789527,0.49056603773584906,0.030197444831591175,0.05689277899343545,0.7429978454909203,0.9889389594428513,0.8485061511423551
english,0.5738428553411528,0.561996186770587,0.7905504140282513,0.35498687664041995,0.4899622641509434,0.4981279782164738,0.8719094429550194,0.6340301093902307
france,0.6921140939597316,0.6693131352072538,0.9175627240143369,0.4266666666666667,0.5824800910125142,0.6232201533406353,0.9611486486486487,0.7561461794019934
bengali,0.658662900188324,0.48685992865556904,0.4521276595744681,0.12022630834512023,0.18994413407821228,0.6787190082644629,0.9273112208892026,0.7837757232329258
italy,0.5838359469240049,0.5457649676561723,0.6777777777777778,0.2982885085574572,0.4142614601018676,0.5577812018489985,0.861904761904762,0.6772684752104771
