model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.666893484653333,0.6360217943070052,0.7438167645077471,0.4116863747736231,0.5300188582204698,0.6409064308472593,0.8810279329608939,0.7420247303935408
china,0.5864180350681881,0.5651277478443713,0.590990990990991,0.3886255924170616,0.46890636168691924,0.5843737414418043,0.7616797900262468,0.6613491340018232
hindi,0.7375081116158339,0.7370330187122103,0.8836633663366337,0.6158711903392754,0.7258556421552016,0.6427807486631016,0.8950111690245719,0.7482103952692188
spanish,0.6730258792302588,0.6403486634522259,0.6854345165238678,0.4346138921226232,0.5319401567323676,0.6684114701866181,0.8510576644450883,0.7487571701720841
korean,0.6628151260504201,0.5814862466151982,0.6563146997929606,0.2845601436265709,0.3969943644333125,0.6641382216603455,0.904707233065442,0.7659781287970838
portuguese,0.7671826625386997,0.6059789661652184,0.5659340659340659,0.2575,0.3539518900343643,0.7927424982554082,0.9349794238683128,0.8580060422960725
germany,0.6496782049052009,0.6167558636738204,0.7454545454545455,0.3811825957605058,0.5044291338582677,0.619570187471422,0.8856209150326797,0.7290825934893731
turkey,0.7828588734100546,0.623818501190496,0.7448979591836735,0.25435540069686413,0.37922077922077924,0.7865691489361702,0.9692748873412536,0.8684162231602128
english,0.6046159667045025,0.5992440595819997,0.7945879458794588,0.4238845144356955,0.5528455284552846,0.5202185792349727,0.8507596067917784,0.6456425907087148
france,0.7185402684563759,0.703377845273492,0.9100775193798449,0.4891666666666667,0.6363143631436314,0.6474985623921794,0.9510135135135135,0.7704413274033527
bengali,0.6911487758945386,0.5739504277790348,0.5841584158415841,0.25035360678925034,0.3504950495049505,0.7089511257550797,0.9110797459421313,0.7974058060531192
italy,0.6344993968636912,0.6159907172570045,0.7226890756302521,0.42053789731051344,0.5316846986089645,0.5989847715736041,0.8428571428571429,0.7002967359050445
