model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6430532941262243,0.6090164888867406,0.6996286886847762,0.3813785021838713,0.4936569222283508,0.6243247614426654,0.8626145251396649,0.7243760555451304
china,0.5766768716949624,0.5475247569839305,0.5840886203423967,0.34360189573459715,0.43267437523312197,0.5738461538461539,0.7832020997375329,0.6623751387347392
hindi,0.6619078520441272,0.6603608920137148,0.8070484581497798,0.5267395054629097,0.6374391092553932,0.5772984078068824,0.8369322412509308,0.6832826747720365
spanish,0.6439946914399469,0.5989603794399273,0.6505939902166318,0.36127279782693056,0.46457085828343314,0.6419403959103763,0.8551144595769342,0.7333499005964215
korean,0.6365546218487395,0.5537927185439255,0.57421875,0.2639138240574506,0.36162361623616235,0.6501706484641638,0.8748564867967853,0.7459618208516887
portuguese,0.7430340557275542,0.5206601226555096,0.43478260869565216,0.125,0.1941747572815534,0.7666666666666667,0.9465020576131687,0.8471454880294659
germany,0.6345451382849191,0.6034443593352236,0.7027586206896552,0.3789512830048345,0.49238946605460254,0.6115375668760177,0.8591503267973856,0.7144992526158446
turkey,0.7389460932768019,0.4826961005614453,0.49572649572649574,0.06736353077816493,0.11860940695296524,0.7478806907378336,0.9758295780417862,0.8467827941699253
english,0.6107958128389457,0.6084708840861422,0.7705753823743627,0.46281714785651795,0.5783000819896147,0.5261431603318542,0.8123324396782842,0.6386416861826698
france,0.6929530201342282,0.6776150108182881,0.8524096385542169,0.4716666666666667,0.6072961373390557,0.6313953488372093,0.9172297297297297,0.7479338842975206
bengali,0.658662900188324,0.5088738543499539,0.46311475409836067,0.15983026874115983,0.23764458464773922,0.6840425531914893,0.9075511644318984,0.7801031240521686
italy,0.5898673100120627,0.577046457963746,0.6251511487303507,0.4213528932355338,0.5034079844206426,0.572289156626506,0.753968253968254,0.6506849315068494
