model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.673455004981895,0.6427144718882004,0.7589519650655022,0.41658676893576224,0.5379139585267719,0.6448904162884191,0.8889832402234636,0.7475149852496289
china,0.5914277762315614,0.5603692864520509,0.6157894736842106,0.346563981042654,0.44351781652767247,0.5826712069617859,0.8083989501312336,0.6772207563764292
hindi,0.6920830629461389,0.6889564589578298,0.8820116054158608,0.5244393329499712,0.6577713667508114,0.59619140625,0.9091586001489204,0.7201415511648481
spanish,0.6781685467816855,0.644383301373104,0.6999372253609542,0.4326736515327901,0.5347721822541966,0.6703494926719279,0.8614894233555491,0.7539944204920112
korean,0.663515406162465,0.5833111042859375,0.656441717791411,0.2881508078994614,0.40049906425452275,0.6649767638360794,0.9035591274397244,0.7661231443173522
portuguese,0.7647058823529411,0.6028510338686464,0.5543478260869565,0.255,0.3493150684931507,0.7917540181691125,0.9325102880658436,0.8563869992441421
germany,0.6670725343538007,0.6368300046998685,0.7765881513204854,0.4046113796950539,0.5320293398533007,0.6317847286108556,0.8977124183006536,0.7416306695464363
turkey,0.7737734706238644,0.5964000881619077,0.7261904761904762,0.21254355400696864,0.3288409703504043,0.7777049180327869,0.9717328963539533,0.863959205973411
english,0.6382898221717745,0.6364042019090865,0.8058147882268485,0.4910323709536308,0.6102201685240555,0.5475403461014972,0.8388442061364313,0.6625882352941177
france,0.7210570469798657,0.7063803960723545,0.9109062980030722,0.49416666666666664,0.6407347379794706,0.6497403346797461,0.9510135135135135,0.7720260541652383
bengali,0.6817325800376648,0.5477776657931869,0.5593869731800766,0.2065063649222065,0.30165289256198347,0.6988727858293076,0.9188426252646437,0.7939024390243903
italy,0.650583031765179,0.6322003297122395,0.7542613636363636,0.43276283618581907,0.5499741066804764,0.60964666292765,0.8626984126984127,0.7144265527440026
