model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5796252642834577,0.4824418973654276,0.6624119718309859,0.16032811334824756,0.2581696543442834,0.5693484496653463,0.9314413407821229,0.7067141403865718
china,0.5410520456443084,0.4558143166079835,0.5403726708074534,0.15462085308056872,0.24044219253800092,0.5411575562700964,0.8834645669291339,0.6711864406779661
hindi,0.5347177157689812,0.49300767166961024,0.8322440087145969,0.21966647498562392,0.3475887170154686,0.48265345024780787,0.9426656738644825,0.6384266263237519
spanish,0.6011944260119443,0.4930648879764339,0.6296851574212894,0.1629802095459837,0.2589395807644883,0.5976496922216005,0.9284265430310055,0.7271901951883795
korean,0.6225490196078431,0.46027999537197734,0.6022727272727273,0.09515260323159784,0.16434108527131783,0.6238805970149254,0.9598163030998852,0.7562189054726368
portuguese,0.7436532507739938,0.4809025297665261,0.3939393939393939,0.065,0.11158798283261803,0.7585539057456423,0.9670781893004116,0.8502170767004341
germany,0.572969212036876,0.49475139162859555,0.6466165413533834,0.19189289698772777,0.29595640952107827,0.5610987679256716,0.907843137254902,0.6935463737361128
turkey,0.7398546335554209,0.43635473021645277,0.5555555555555556,0.011614401858304297,0.022753128555176336,0.7408647990255786,0.9967226546497338,0.8499563318777292
english,0.48139740194223735,0.4363740462765891,0.7060931899641577,0.17235345581802275,0.2770745428973277,0.44459122266255685,0.9022937146261543,0.5956735496558505
france,0.5717281879194631,0.4973608005836574,0.8352059925093633,0.18583333333333332,0.3040218132242672,0.538497874350496,0.9628378378378378,0.6906997879430475
bengali,0.6534839924670434,0.44996397045577374,0.384,0.06789250353606789,0.11538461538461539,0.6703351675837919,0.9456598447424136,0.7845433255269321
italy,0.5432247687977483,0.4759634432439892,0.6233062330623306,0.18744906275468623,0.2882205513784461,0.5292728989612843,0.8896825396825396,0.6637063351095323
