model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5322122044278111,0.4862819444088136,0.49315147495602524,0.9109406626185149,0.6398892484986811,0.7415765069551777,0.21443575418994412,0.3326746403189461
china,0.5221263568048984,0.45291049021559693,0.49544454916745206,0.9342417061611374,0.6475056456579757,0.7292682926829268,0.15695538057742783,0.25831533477321816
hindi,0.6343283582089553,0.5476691197450476,0.6136701337295691,0.9499712478435882,0.7456556082148499,0.7769230769230769,0.22561429635145197,0.34968263127524524
spanish,0.5174187126741872,0.49291890419288725,0.4652428810720268,0.8622429181218471,0.6043791649666803,0.7164536741214057,0.25992465951898003,0.3814586434190942
korean,0.4579831932773109,0.43135756851741236,0.4080508474576271,0.8644524236983842,0.5544041450777202,0.6955645161290323,0.19804822043628015,0.30831099195710454
portuguese,0.38699690402476783,0.3866392194894395,0.2647527910685805,0.83,0.4014510278113664,0.8116343490304709,0.2411522633744856,0.37182741116751267
germany,0.5334840841885545,0.4815851798654035,0.5007173601147776,0.9085161770174787,0.6456131078224101,0.7172413793103448,0.20392156862745098,0.31755725190839695
turkey,0.39975772259236825,0.39972601101312455,0.27261663286004056,0.7804878048780488,0.40408899579073965,0.7741935483870968,0.26546497337156905,0.39536302623550945
english,0.633245049817127,0.5341479061323526,0.6186199030510408,0.9490376202974629,0.7490074227515967,0.7453551912568306,0.20315758117366697,0.3192883895131086
france,0.5876677852348994,0.5182433464468917,0.5519387266634753,0.9608333333333333,0.7011249619945272,0.8406779661016949,0.20945945945945946,0.33536173089925625
bengali,0.4129001883239171,0.39952485747197786,0.34429065743944637,0.8444130127298444,0.4891437935272429,0.717948717948718,0.19760056457304165,0.3099059214167128
italy,0.5351829513470044,0.4511778315681768,0.51589789520824,0.9388753056234719,0.6658959537572254,0.7047244094488189,0.14206349206349206,0.23645970937912814
