model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5325524314078106,0.4301431386803787,0.4532549178665585,0.11904761904761904,0.1885678126977431,0.5433486111878072,0.8795083798882681,0.6717184646630143
china,0.5140551071527971,0.4155613961735133,0.4325581395348837,0.11018957345971564,0.17563739376770537,0.5251343661081253,0.8719160104986876,0.6554853985793212
hindi,0.4510058403634004,0.3944343286077925,0.5586034912718204,0.12880966072455435,0.20934579439252338,0.4349123461395002,0.8682055100521221,0.5795228628230616
spanish,0.5476111479761114,0.4401467779523691,0.4074074074074074,0.1280558789289872,0.19486271036315322,0.5693752395553852,0.8609098811938568,0.685430845541585
korean,0.5875350140056023,0.4490163298675164,0.3967741935483871,0.11041292639138241,0.17275280898876405,0.6107619795758051,0.8926521239954076,0.7252798507462687
portuguese,0.6891640866873066,0.4725243981782693,0.21666666666666667,0.0975,0.13448275862068965,0.748432055749129,0.8839506172839506,0.810566037735849
germany,0.5289615585319186,0.43514048222307816,0.48675034867503486,0.12978802528821123,0.20493247210804463,0.5349761526232114,0.8797385620915033,0.6653484923381117
turkey,0.69442761962447,0.4937339717606678,0.2955801104972376,0.12427409988385599,0.1749795584627964,0.7435374149659864,0.8955346169602622,0.8124883850585393
english,0.4315802749400933,0.37393352038592015,0.5341745531019979,0.1111111111111111,0.18395799384392542,0.4175981656635139,0.8680369377420316,0.5639090469279149
france,0.4937080536912752,0.40579283673307975,0.4868913857677903,0.10833333333333334,0.17723244717109748,0.49456778460085027,0.8842905405405406,0.6343532262950621
bengali,0.6346516007532956,0.45651955999894483,0.3283582089552239,0.09335219236209336,0.14537444933920704,0.6666666666666666,0.9047282992237121,0.7676646706586826
italy,0.5243264977885002,0.4414477337512494,0.5728476821192053,0.14099429502852487,0.2262916939175932,0.5176201372997712,0.8976190476190476,0.6566037735849056
