model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.565773165812049,0.41867867243900103,0.7702863961813843,0.06876531373175669,0.1262591687041565,0.5570896562207078,0.9827932960893855,0.7110981761738455
china,0.5452268299471194,0.39796860515672816,0.7109375,0.05390995260663507,0.10022026431718062,0.5391053391053391,0.9805774278215224,0.6957169459962756
hindi,0.48312783906554185,0.39901619658441373,0.8842105263157894,0.09660724554341575,0.17418351477449456,0.45677731673582295,0.9836187639612807,0.6238488783943329
spanish,0.5847710683477106,0.42226610340988613,0.6456692913385826,0.06363989134652696,0.11586012009890498,0.5820921371666089,0.9739206027238482,0.7286720867208673
korean,0.6127450980392157,0.39074174086132674,0.7222222222222222,0.011669658886894075,0.022968197879858657,0.6120507399577167,0.9971297359357061,0.7585152838427948
portuguese,0.746749226006192,0.4545995750973701,0.36363636363636365,0.03,0.05542725173210162,0.7547408343868521,0.9827160493827161,0.8537718984626386
germany,0.5580100887110802,0.41770540867323513,0.8109243697478992,0.07177389364075865,0.13187564058763238,0.5470876428960262,0.9852941176470589,0.7035351767588379
turkey,0.7471229557843732,0.4624136858657833,0.8421052631578947,0.03716608594657375,0.07119021134593993,0.7460171568627451,0.9975419909873003,0.8536371603856266
english,0.45844368772859123,0.37646527462677426,0.7883817427385892,0.0831146106736658,0.15037593984962405,0.43708876057472806,0.9696157283288651,0.6025546094039245
france,0.5335570469798657,0.41254920522645705,0.9313725490196079,0.07916666666666666,0.14592933947772657,0.5157756354075372,0.9940878378378378,0.6791690709751875
bengali,0.667608286252354,0.40438316640398597,0.6,0.004243281471004243,0.008426966292134831,0.6677678150070788,0.9985885673959068,0.8003393665158371
italy,0.5436268596702855,0.43948502626596386,0.7446808510638298,0.11409942950285248,0.1978798586572438,0.5271857329273597,0.9619047619047619,0.681090193874684
