model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6722885124790395,0.6328529761353523,0.7975025312183598,0.37759667625439436,0.5125257564255504,0.6377867327960323,0.9195530726256983,0.7531801958451542
china,0.5989423879766212,0.5341470061900933,0.7185840707964601,0.24052132701421802,0.36040834442964936,0.5766182298546896,0.9165354330708662,0.7078856679505372
hindi,0.6135626216742375,0.5910579272827134,0.9419354838709677,0.3358251868890167,0.49512505298855447,0.5308692120227457,0.9731943410275503,0.6869908015768725
spanish,0.6766755142667551,0.6417145569551734,0.7002551020408163,0.42607683352735737,0.5297949336550061,0.6683856502242153,0.8638075920023182,0.7536341802553407
korean,0.6565126050420168,0.542230443171508,0.7111111111111111,0.20107719928186715,0.31350594821553535,0.6497441951987406,0.9477611940298507,0.7709549381274807
portuguese,0.7708978328173375,0.6153514395917338,0.5797872340425532,0.2725,0.3707482993197279,0.7960756832515767,0.9349794238683128,0.8599545798637396
germany,0.6837710906244564,0.6442115280606229,0.8810148731408574,0.374488657493492,0.5255741127348643,0.6348241424229266,0.9555555555555556,0.7628489433863814
turkey,0.7804360993337371,0.6121637325338404,0.7556390977443609,0.23344947735191637,0.3566992014196983,0.782608695652174,0.9733715690290864,0.8676282636479825
english,0.645352503468281,0.6407548207321063,0.8577235772357723,0.46150481189851267,0.6001137656427759,0.5498262936551472,0.8957402442657134,0.6813958758214367
france,0.7458053691275168,0.7320581261814114,0.9611801242236024,0.5158333333333334,0.6713665943600867,0.6660919540229885,0.9788851351351351,0.792749658002736
bengali,0.6629001883239172,0.5858792262112235,0.49101796407185627,0.347949080622348,0.40728476821192056,0.7159581022797289,0.8200423429781228,0.7644736842105263
italy,0.6477683956574186,0.6227046520713896,0.7835218093699515,0.3952730236348818,0.5254604550379198,0.6027837259100642,0.8936507936507937,0.7199488491048593
