model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6936742083647234,0.6615015025021722,0.8183507069873052,0.42233940556088206,0.5571443628570425,0.655276541640178,0.921340782122905,0.7658586421473019
china,0.6100751461174506,0.5538000223906931,0.7281399046104928,0.2713270142180095,0.395338800172637,0.5850202429149798,0.9102362204724409,0.7122612446087492
hindi,0.6670992861778067,0.6569546131494808,0.9384993849938499,0.43875790684301325,0.5979623824451411,0.5698545614808286,0.9627699180938198,0.7159468438538206
spanish,0.6987392169873922,0.6655856014379988,0.7450096587250483,0.44897167248738845,0.5602905569007264,0.6826815642458101,0.8852506519849319,0.7708806459752713
korean,0.678921568627451,0.5856554745186103,0.7545219638242894,0.2621184919210054,0.38907395069953365,0.6670716889428918,0.9454649827784156,0.782236998337687
portuguese,0.7857585139318886,0.6512392835922247,0.6273584905660378,0.3325,0.434640522875817,0.8096935138987883,0.9349794238683128,0.8678380443086325
germany,0.70968864150287,0.6801159520710724,0.8887195121951219,0.4336184455187802,0.5828542864283929,0.6567500563443768,0.9522875816993464,0.7773776177137521
turkey,0.7807389460932768,0.6183200159400002,0.7386759581881533,0.2462253193960511,0.3693379790940767,0.7847429519071311,0.9692748873412536,0.8673020527859238
english,0.67019800731492,0.6679389010402966,0.8620051794302627,0.5096237970253719,0.6405498281786941,0.5709911978568695,0.8888888888888888,0.6953279739018992
france,0.7504194630872483,0.738301680335377,0.9508196721311475,0.5316666666666666,0.6819882415820417,0.6719206071220082,0.9721283783783784,0.7946151190887124
bengali,0.6793785310734464,0.5964170828907421,0.5286343612334802,0.33946251768033947,0.4134366925064599,0.7203592814371258,0.8489767113620325,0.7793974732750243
italy,0.6722959388821874,0.6526122571749557,0.8083832335329342,0.4400977995110024,0.5699208443271768,0.6223199560197911,0.8984126984126984,0.7353036700227347
