model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6506354953947848,0.6477613845286985,0.5842787061168174,0.8120272717588154,0.6795791913698569,0.765623962276682,0.515217877094972,0.61594357768754
china,0.5251878652936265,0.49597530683906754,0.4967509025270758,0.8151658767772512,0.6173171825930911,0.6208991494532199,0.26824146981627295,0.374633431085044
hindi,0.7887735236859182,0.782311642384642,0.7902881536819637,0.8516388729154687,0.8198173263216164,0.7864238410596026,0.7073715562174236,0.7448059584476676
spanish,0.6295620437956204,0.625431644701518,0.5421155729676788,0.8591385331781141,0.6647650502927488,0.8132716049382716,0.458128078817734,0.5860982391102874
korean,0.5714285714285714,0.5712971760935053,0.4693080357142857,0.7549371633752244,0.5788024776324845,0.743421052631579,0.45407577497129736,0.5637918745545261
portuguese,0.6421052631578947,0.6088349569893194,0.3803763440860215,0.7075,0.49475524475524474,0.8656716417910447,0.6205761316872428,0.7229146692233941
germany,0.6599408592798748,0.6564683952341842,0.6008796041781198,0.8129416139828932,0.6910067962699542,0.7617243012790147,0.5254901960784314,0.6219299941984142
turkey,0.67595396729255,0.6387236129397469,0.42433019551049966,0.6806039488966318,0.5227475468331847,0.8568453930244664,0.674313805817288,0.7546996790463091
english,0.6607390591499559,0.6257944473669583,0.66280276816609,0.8379265091863517,0.740146831530139,0.6551884597487203,0.41942210306821565,0.5114420632037777
france,0.8066275167785235,0.8057415464508837,0.774721189591078,0.8683333333333333,0.8188605108055009,0.8479307025986526,0.7440878378378378,0.7926225820962663
bengali,0.620527306967985,0.5975033103614313,0.44554455445544555,0.5728429985855729,0.5012376237623762,0.751440329218107,0.644318983768525,0.6937689969604863
italy,0.5971049457177322,0.5790544640287137,0.5633802816901409,0.8149959250203749,0.6662225183211192,0.6811797752808989,0.38492063492063494,0.4918864097363083
