model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6963717222775766,0.6961314886245816,0.6334353221145674,0.7939703845744114,0.7046754597456626,0.7804393483567009,0.6144804469273742,0.6875875175035007
china,0.5950459226273309,0.5928478087108263,0.553711387736284,0.7114928909952607,0.6227638060668914,0.6580056179775281,0.49186351706036746,0.5629318113547612
hindi,0.7605451005840363,0.7477549293075547,0.7457044673539519,0.8734905117883841,0.8045550847457628,0.7894736842105263,0.6142963514519731,0.6909547738693468
spanish,0.6295620437956204,0.6243357651110428,0.5413262854396924,0.8742724097788126,0.6686451995845081,0.8263665594855305,0.44682700666473485,0.5800263306375776
korean,0.6743697478991597,0.661057784334093,0.5782312925170068,0.6104129263913824,0.5938864628820961,0.7416666666666667,0.7152698048220436,0.72822910578609
portuguese,0.6947368421052632,0.6569498679192686,0.43151693667157587,0.7325,0.5430954587581094,0.8856837606837606,0.6823045267489712,0.7708042770804278
germany,0.7208210123499739,0.7206457471655162,0.6691635455680399,0.7973224246931945,0.7276429662311217,0.7858546168958742,0.6535947712418301,0.7136485280999108
turkey,0.7274379164142943,0.6744652743241852,0.4824165915238954,0.6213704994192799,0.5431472081218274,0.8513451892384861,0.7648504711183941,0.805783340526543
english,0.7241770715096482,0.7101546688266542,0.7337776906488924,0.8186789151356081,0.773906750749509,0.7068599717114569,0.5954721477509681,0.6464025869037995
france,0.8414429530201343,0.8413838988689288,0.8341463414634146,0.855,0.8444444444444444,0.8492201039861352,0.8277027027027027,0.8383233532934131
bengali,0.6384180790960452,0.6298039215686275,0.47209515096065874,0.7298444130127298,0.5733333333333334,0.8147429679922406,0.592801693719125,0.6862745098039216
italy,0.6755126658624849,0.670324130539232,0.6335877862595419,0.8117359413202934,0.7116827438370846,0.7475409836065574,0.5428571428571428,0.6289655172413793
