model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7353520134146638,0.7287260890066729,0.7472403411941796,0.6346010439970171,0.6863298577106977,0.7278317794088475,0.8198882681564246,0.7711223203026482
china,0.6209295853047593,0.6207368344693921,0.5893640350877193,0.6368483412322274,0.6121867881548975,0.6534765404183154,0.6068241469816273,0.6292868807838867
hindi,0.781635301752109,0.7813815552116483,0.8680939226519337,0.7228292121909143,0.7888296203326012,0.7050183598531212,0.8577810871183916,0.7739334900906953
spanish,0.7226277372262774,0.7146486255093327,0.6852230863692181,0.6495925494761351,0.6669322709163347,0.7481171548117155,0.7771660388293248,0.7623649801023309
korean,0.6901260504201681,0.6387552207742759,0.6721804511278195,0.4012567324955117,0.5025295109612141,0.6955727978092195,0.8748564867967853,0.7749809305873379
portuguese,0.7770897832817337,0.6770043066092453,0.5632911392405063,0.445,0.4972067039106145,0.8290993071593533,0.8864197530864197,0.8568019093078759
germany,0.7514350321795095,0.7466015475054182,0.7780229479258606,0.65563406470807,0.7116044399596367,0.734137238013207,0.8356209150326798,0.7815986550511997
turkey,0.7958812840702605,0.6581333176036577,0.7710144927536232,0.3089430894308943,0.44112769485903813,0.7987825498816368,0.9676362146661205,0.8751389403482771
english,0.7386807920292596,0.7345847778413079,0.7878857669276831,0.7482502187226596,0.7675566524568095,0.6791190409813215,0.7256478999106345,0.7016129032258065
france,0.87248322147651,0.8720162748643762,0.9307692307692308,0.8066666666666666,0.8642857142857143,0.8273809523809523,0.9391891891891891,0.879746835443038
bengali,0.6732580037664784,0.5100036565502111,0.5340314136125655,0.14427157001414428,0.22717149220489977,0.6870150025866528,0.9371912491178547,0.7928358208955224
italy,0.6924004825090471,0.6904780458886179,0.7171052631578947,0.6218418907905461,0.6660846791793976,0.673928320449754,0.7611111111111111,0.7148714125978383
