model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7616223966560548,0.7567564341330738,0.770764119601329,0.6796633642271226,0.7223527413739421,0.7554688135317558,0.830391061452514,0.7911601268922055
china,0.6409685499582521,0.6392078307119491,0.6203143893591294,0.6078199052132701,0.6140035906642729,0.6585869004641568,0.6703412073490813,0.6644120707596254
hindi,0.8046722907203114,0.8032284982078747,0.8537647790914747,0.7889591719378953,0.8200836820083682,0.7511864406779661,0.8250186150409531,0.7863733144073811
spanish,0.7491705374917054,0.7431084056092638,0.7108910891089109,0.696546371750097,0.7036456291650334,0.7767627747644876,0.7884671109823239,0.7825711820534944
korean,0.7261904761904762,0.6891391794046662,0.7195767195767195,0.4883303411131059,0.5818181818181818,0.7285714285714285,0.878300803673938,0.7964601769911505
portuguese,0.7938080495356037,0.7056031715011586,0.6012084592145015,0.4975,0.5444596443228454,0.8434579439252337,0.891358024691358,0.8667466986794717
germany,0.788311010610541,0.7834885257196254,0.8342415985467757,0.683153588694682,0.7511756287057861,0.759797011559064,0.880718954248366,0.8158014227334645
turkey,0.8007268322228952,0.6895511520257971,0.7182795698924731,0.3879210220673635,0.5037707390648567,0.8142403947832217,0.9463334698893896,0.8753315649867374
english,0.7686971875394123,0.7637358234533747,0.8038171327119397,0.7922134733158355,0.7979731218330028,0.7224656733859188,0.7366696455168305,0.7294985250737464
france,0.8666107382550335,0.8662129166287248,0.9184060721062619,0.8066666666666666,0.8589174800354925,0.825563909774436,0.9273648648648649,0.8735083532219571
bengali,0.7066854990583804,0.6176402173979001,0.6071428571428571,0.33663366336633666,0.43312101910828027,0.7292147806004619,0.8913196894848271,0.8021594156875198
italy,0.7426618415761962,0.7410369714758003,0.7761053621825024,0.6723716381418093,0.7205240174672489,0.7176966292134831,0.8111111111111111,0.7615499254843517
