model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7068215509489902,0.6861311631972185,0.7840812870448772,0.4932353254500906,0.6055453832069055,0.6757217355738097,0.8860335195530726,0.7667169431875315
china,0.611745059838575,0.5972337232638449,0.6197874080130826,0.4490521327014218,0.5207832360013741,0.6075949367088608,0.7559055118110236,0.6736842105263158
hindi,0.7384815055158988,0.7383051821661376,0.8693586698337292,0.6313973548016101,0.7315123251165889,0.6476085761407366,0.8771407297096053,0.7450980392156863
spanish,0.6962508294625083,0.6670563534087012,0.723889555822329,0.4679860302677532,0.5684657082253123,0.6856946354883081,0.8667053028107795,0.7656469985920901
korean,0.6705182072829131,0.5855755081006038,0.6926503340757239,0.2791741472172352,0.3979526551503519,0.6663896967179062,0.9207807118254879,0.7731983610508556
portuguese,0.7764705882352941,0.5881967365960781,0.6585365853658537,0.2025,0.30975143403441685,0.7861930294906166,0.9654320987654321,0.8666420391577392
germany,0.7215167855279179,0.7054675807263844,0.8166472642607684,0.5217552993677947,0.6367143181302474,0.6809724634085835,0.8970588235294118,0.7742208433225215
turkey,0.7867958812840703,0.619904968393652,0.8102766798418972,0.23809523809523808,0.36804308797127466,0.7848474909806494,0.9803359278984023,0.8717668488160292
english,0.6886114264093833,0.688589849770185,0.8195077484047402,0.5898950131233596,0.6859977107974056,0.5957309184993532,0.8230563002680965,0.6911819887429643
france,0.8137583892617449,0.8096557498386968,0.9532374100719424,0.6625,0.7817109144542773,0.7387096774193549,0.9670608108108109,0.8376005852231163
bengali,0.67984934086629,0.47437069472507376,0.651685393258427,0.08203677510608204,0.1457286432160804,0.6810810810810811,0.9781227946365562,0.8030127462340672
italy,0.6654603940490551,0.6583412149488268,0.7192008879023307,0.5281173594132029,0.6090225563909775,0.6349306431273645,0.7992063492063493,0.707659873506676
