model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7327760091375246,0.7177945133954587,0.8016131534046843,0.5505486310855439,0.6527725148414804,0.701362590691913,0.8856759776536313,0.7828165119494371
china,0.617033119955469,0.6003073384823739,0.6333333333333333,0.43898104265402843,0.5185444366689993,0.609162195625258,0.7748031496062993,0.6820702402957486
hindi,0.7673588578844905,0.7672353290077203,0.9017295597484277,0.6595744680851063,0.7618731318498838,0.6729281767955801,0.9069247952345495,0.7725975261655567
spanish,0.7282680822826808,0.7089766352826332,0.7472353870458136,0.5506402793946449,0.6340482573726541,0.7195446839428433,0.8609098811938568,0.7839050131926122
korean,0.6904761904761905,0.6288204368229773,0.698961937716263,0.362657091561939,0.47754137115839246,0.6883230904302019,0.9001148105625718,0.7800995024875622
portuguese,0.804953560371517,0.690537933853681,0.6824034334763949,0.3975,0.5023696682464455,0.8256150506512301,0.9390946502057613,0.8787061994609164
germany,0.7524786919464255,0.7426046998210529,0.827300930713547,0.5950167348456675,0.6921912178239239,0.7145478374836173,0.8908496732026144,0.7930181818181818
turkey,0.7952755905511811,0.6512436878156093,0.7899686520376176,0.2926829268292683,0.4271186440677966,0.7958431109621187,0.9725522326915199,0.8753687315634219
english,0.7225375204943877,0.72251399980962,0.8457725947521866,0.634514435695538,0.7250687328167958,0.6285841298066237,0.8424188263330354,0.719959266802444
france,0.8158557046979866,0.8128726741530041,0.9309173272933182,0.685,0.7892462794047047,0.7481678880746169,0.9484797297297297,0.8364990689013035
bengali,0.7109227871939736,0.5945269331648599,0.6666666666666666,0.26308345120226306,0.3772819472616633,0.7176151761517615,0.9343683839096684,0.8117719190680565
italy,0.7129071170084439,0.7066577460600654,0.7859531772575251,0.5745721271393643,0.6638418079096046,0.6716981132075471,0.8476190476190476,0.7494736842105263
