model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6474762448662179,0.576911127946943,0.8831238779174148,0.2620112922126345,0.4041242195202103,0.610584895584474,0.9709050279329609,0.7496980363736757
china,0.5875313108822711,0.5162770593916719,0.6958174904942965,0.21682464454976302,0.33062330623306235,0.5689598956635148,0.916010498687664,0.7019308125502816
hindi,0.6340038935756003,0.6172940783277124,0.9370529327610873,0.3766532489936745,0.5373256767842494,0.5451112043642468,0.9672375279225615,0.6972624798711755
spanish,0.6043463835434638,0.4548082518348882,0.826530612244898,0.09429569266589057,0.16927899686520376,0.5929543076386466,0.9852216748768473,0.7403375068045727
korean,0.634453781512605,0.4526465739744686,0.8645833333333334,0.07450628366247755,0.1371900826446281,0.6264492753623189,0.9925373134328358,0.7681030653043092
portuguese,0.756656346749226,0.4544580164875827,0.7692307692307693,0.025,0.048426150121065374,0.7565543071161048,0.9975308641975309,0.8604898828541001
germany,0.6508958079666028,0.5866835600561608,0.929471032745592,0.27445146894756417,0.42377260981912146,0.6062563067608476,0.9816993464052287,0.7495945102932002
turkey,0.7471229557843732,0.45731783527059117,0.9642857142857143,0.0313588850174216,0.06074240719910011,0.7452657299938913,0.9995903318312167,0.8538932633420823
english,0.6384159414806407,0.6312674771259958,0.8783843763870395,0.43285214348206474,0.5799267399267399,0.5431642001409444,0.9183795055108728,0.6826082143252519
france,0.6975671140939598,0.6696529659496537,0.9877800407331976,0.4041666666666667,0.5736250739207569,0.6222926571579503,0.9949324324324325,0.7656808579785506
bengali,0.6685499058380414,0.40473411412511245,1.0,0.004243281471004243,0.008450704225352112,0.6680810938236681,1.0,0.8010175240248728
italy,0.6220345798150382,0.5669494665085951,0.8847184986595175,0.26894865525672373,0.4125,0.575685903500473,0.9658730158730159,0.7213989330171903
