model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7101752168946998,0.6859574328214839,0.8127511874314943,0.4739533397251518,0.5987484018572101,0.6729909605642197,0.9083798882681564,0.7731664637857577
china,0.6031171722794322,0.5801128108904763,0.6231203007518797,0.3927725118483412,0.48183139534883723,0.5947014630288652,0.789501312335958,0.6783942264321154
hindi,0.72744970798183,0.7264534038423826,0.888504753673293,0.5911443358251869,0.7099447513812155,0.6306493506493507,0.9039463886820551,0.7429620563035496
spanish,0.7008958195089582,0.6614763155325086,0.7776183644189383,0.4206441598758246,0.545958196927726,0.6778161415623651,0.9101709649376992,0.7769944341372913
korean,0.6824229691876751,0.600867481092225,0.729490022172949,0.29533213644524237,0.4204472843450479,0.6735966735966736,0.9299655568312285,0.781287677839402
portuguese,0.7975232198142415,0.6540702530090887,0.7085714285714285,0.31,0.43130434782608695,0.8083333333333333,0.9580246913580247,0.8768361581920904
germany,0.7312576100191338,0.71283869469092,0.8566084788029925,0.510970621048717,0.6401118099231307,0.6827503015681544,0.9248366013071896,0.7855655794587092
turkey,0.791641429436705,0.6332475771289237,0.8191881918819188,0.2578397212543554,0.392226148409894,0.7891784889475421,0.979926259729619,0.8742690058479532
english,0.6889897843359818,0.6886314053545506,0.8409974093264249,0.5680227471566054,0.6780678851174935,0.5920264408180128,0.8537384569556151,0.6991949255916077
france,0.7776845637583892,0.7709766481444962,0.9317010309278351,0.6025,0.7317813765182186,0.7033582089552238,0.9552364864864865,0.8101719197707736
bengali,0.7062146892655368,0.5505487514564872,0.7485029940119761,0.1768033946251768,0.28604118993135014,0.7026060296371998,0.9703599153140438,0.8150563129816242
italy,0.6903900281463611,0.6794721154348289,0.7852684144818977,0.5126324368378158,0.6203155818540433,0.6453143534994069,0.8634920634920635,0.7386286490156144
