model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5485430994677878,0.4205070204308123,0.5324760962743159,0.08602322360711623,0.14811757692484065,0.54982159722951,0.9366256983240223,0.692896463936784
china,0.516281658780963,0.40655163578970416,0.4305555555555556,0.09182464454976304,0.1513671875,0.5258274048871018,0.8923884514435696,0.6617360840794083
hindi,0.46203763789746916,0.3864125840537945,0.6551724137931034,0.09833237492811961,0.171,0.4441687344913151,0.9329858525688757,0.6018251681075889
spanish,0.5743198407431984,0.4351650117291687,0.5119825708061002,0.09119130772215754,0.15480895915678525,0.5794577123361465,0.9350912778904665,0.7155210643015522
korean,0.6053921568627451,0.43912282740845465,0.46524064171123,0.07809694793536805,0.1337432744043044,0.61521168977145,0.9425947187141217,0.7445023804126049
portuguese,0.7442724458204334,0.4535251171406778,0.32432432432432434,0.03,0.05491990846681922,0.7541191381495564,0.9794238683127572,0.8521303258145363
germany,0.5359192903113585,0.4203531529112925,0.5212981744421906,0.09557456303458535,0.16153362664990573,0.5372907153729072,0.9228758169934641,0.6791726791726792
turkey,0.7398546335554209,0.4385157462631465,0.5454545454545454,0.013937282229965157,0.027180067950169876,0.7411585365853659,0.9959033183121672,0.8498514245761231
english,0.43965191070752935,0.36713500547963684,0.5958395245170877,0.08770778652668416,0.1529075309818875,0.4251653803748622,0.9189752755436401,0.5813624799773862
france,0.5151006711409396,0.40381382075198224,0.6428571428571429,0.0825,0.14623338257016247,0.5062780269058296,0.9535472972972973,0.661394258933802
bengali,0.6468926553672316,0.45979417242366244,0.3712574850299401,0.0876944837340877,0.14187643020594964,0.6704138988247317,0.9258997882851094,0.7777119146413752
italy,0.5178930438279051,0.4157200578653879,0.5636363636363636,0.10105949470252648,0.1713890808569454,0.513453903837671,0.9238095238095239,0.6600510348738304
