model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5635130865877664,0.41401936179902543,0.7554996857322439,0.06402471503142644,0.1180456665848269,0.5557914960311442,0.9826145251396649,0.709993057013224
china,0.539382131923184,0.3969846061299447,0.6037735849056604,0.05687203791469194,0.10395235517054684,0.5364006988934188,0.9669291338582677,0.6900168570893426
hindi,0.4772874756651525,0.388391050663462,0.8809523809523809,0.0851063829787234,0.15521761929732564,0.45401509951956076,0.9851079672375279,0.6215644820295984
spanish,0.5869276708692767,0.4185264868644194,0.7101449275362319,0.0570430733410943,0.10560344827586207,0.5825459543033843,0.9826137351492321,0.7314495254529767
korean,0.6179971988795518,0.4102826592900331,0.7446808510638298,0.03141831238779174,0.06029285099052541,0.615877536489854,0.9931113662456946,0.7602724675895408
portuguese,0.7510835913312693,0.43847950181629475,0.4,0.01,0.01951219512195122,0.7532710280373832,0.9950617283950617,0.8574468085106383
germany,0.5536615063489303,0.41628467012339115,0.7269372693726938,0.07326143547787281,0.1331081081081081,0.5450894487039065,0.9758169934640523,0.6994612321386742
turkey,0.7474258025439128,0.45848202522485676,0.9655172413793104,0.032520325203252036,0.06292134831460675,0.7454934311029636,0.9995903318312167,0.8540427021351068
english,0.4547862277714718,0.3684256405975065,0.7929411764705883,0.07370953630796151,0.1348809285571343,0.435634328358209,0.9737861185582365,0.6019703526378787
france,0.5276845637583892,0.40572266538205415,0.8557692307692307,0.07416666666666667,0.13650306748466257,0.512719298245614,0.987331081081081,0.6749422632794457
bengali,0.6699623352165726,0.42335697729134353,0.6071428571428571,0.024045261669024046,0.04625850340136054,0.6708015267175572,0.9922371206774877,0.8004554511813265
italy,0.5327704061117813,0.41470264183348593,0.7272727272727273,0.08475957620211899,0.15182481751824817,0.5209044368600683,0.969047619047619,0.6775804661487237
