model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6262120586162483,0.5713604614643556,0.7216198563030699,0.2942367103440929,0.4180256536380491,0.6044067594195975,0.9047597765363129,0.7246952692906621
china,0.5744503200667965,0.5309668992410277,0.5980271270036991,0.28732227488151657,0.3881552621048419,0.5675772825305535,0.8288713910761155,0.6737785363772135
hindi,0.6524983776768333,0.645890895257761,0.8622559652928417,0.45715928694652097,0.5975197294250282,0.562962962962963,0.9054355919583023,0.6942620610904938
spanish,0.6375248838752489,0.5758263005547933,0.6701388888888888,0.2995731470702367,0.4140520246714937,0.6298195242001641,0.88988698927847,0.737600576438093
korean,0.6390056022408963,0.5321314287048994,0.610079575596817,0.20646319569120286,0.3085177733065057,0.6434045986284792,0.9156142365097589,0.7557450841032931
portuguese,0.7597523219814242,0.5046262917567892,0.6071428571428571,0.085,0.14912280701754385,0.7652341244387428,0.9818930041152263,0.8601297764960346
germany,0.6136719429465994,0.5626273198280246,0.7135036496350365,0.29081442915582,0.4132100396301189,0.5901568880292285,0.8973856209150327,0.7120446000259303
turkey,0.7386432465172623,0.4282124880736559,0.375,0.003484320557491289,0.006904487917146145,0.7395264116575592,0.9979516591560835,0.8495204882301657
english,0.5603480892924707,0.543229090512,0.7980241492864983,0.31802274715660545,0.4548013762902721,0.4894383494350745,0.8903783139708072,0.6316568047337278
france,0.6610738255033557,0.6333089668615984,0.8712121212121212,0.38333333333333336,0.5324074074074074,0.6012931034482759,0.9425675675675675,0.7342105263157894
bengali,0.6511299435028248,0.4822761921271892,0.4166666666666667,0.12022630834512023,0.18660812294182216,0.6760416666666667,0.9160197600564574,0.7779442613125562
italy,0.5745878568556494,0.550030371392884,0.6244477172312224,0.34555827220863894,0.44491080797481636,0.5558628318584071,0.7976190476190477,0.6551499348109517
