model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6493231913290723,0.5991585359949949,0.7778204144282426,0.32390540108660915,0.45735559566787004,0.6191833428339983,0.9223687150837989,0.7409614763221197
china,0.5933760089062066,0.5409723262444874,0.6642547033285094,0.27191943127962087,0.3858764186633039,0.576498966230186,0.8782152230971129,0.6960682338256708
hindi,0.672939649578196,0.6671057171574731,0.8909090909090909,0.47901092581943644,0.6230366492146597,0.5780158360503027,0.9240506329113924,0.7111747851002865
spanish,0.6582614465826144,0.6046380482357832,0.7099918765231519,0.33915405510283275,0.45903361344537813,0.6449864498644986,0.896551724137931,0.7502424830261881
korean,0.6617647058823529,0.5640750141574307,0.6897435897435897,0.2414721723518851,0.35771276595744683,0.6573398215733982,0.9305396096440872,0.7704372623574145
portuguese,0.7696594427244582,0.5494996940575172,0.6627906976744186,0.1425,0.2345679012345679,0.7756703727926749,0.9761316872427983,0.8644314868804664
germany,0.6310662723951992,0.5818689299239492,0.7610294117647058,0.30792116028263294,0.4384432088959492,0.6007294571980262,0.9150326797385621,0.7252946509519492
turkey,0.7774076317383404,0.5879565703912831,0.8118811881188119,0.19047619047619047,0.3085606773283161,0.7751612903225806,0.9844326095862351,0.8673524634542501
english,0.579392104931265,0.5656166572788959,0.8179948586118252,0.3479877515310586,0.48826147000153447,0.5018382352941176,0.8945487042001787,0.6429718445562573
france,0.6774328859060402,0.6509209116024256,0.9089184060721063,0.39916666666666667,0.5547191661841343,0.6117393645665051,0.9594594594594594,0.7471226570207169
bengali,0.6840866290018832,0.5069943168905169,0.625,0.1272984441301273,0.21151586368977673,0.6883838383838384,0.9618913196894848,0.802472770091257
italy,0.6252513067953357,0.5948752474915265,0.7547495682210709,0.3561532192339038,0.4839424141749723,0.5859538784067087,0.8873015873015873,0.7058080808080808
