model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6301489708133855,0.5930515503137931,0.6786252637925837,0.3596995845317993,0.4701827676240209,0.6146868388999295,0.857072625698324,0.7159203330035653
china,0.560256053437239,0.5315796387390456,0.5531496062992126,0.33293838862559244,0.4156804733727811,0.563057819169577,0.7616797900262468,0.6474788041053101
hindi,0.6018818948734588,0.5953015081426862,0.7694736842105263,0.42035652673950546,0.5436965414652287,0.5272045028142589,0.8369322412509308,0.6469064748201439
spanish,0.6418380889183809,0.6062170998536603,0.6275946275946276,0.39891346526969346,0.4877817319098458,0.6471526195899773,0.8232396406838598,0.7246524677974748
korean,0.6313025210084033,0.5465033534589628,0.5601577909270217,0.25493716337522443,0.3504009870450339,0.6466581524052788,0.8719862227324914,0.7426057198728917
portuguese,0.7647058823529411,0.5413632504693235,0.6136363636363636,0.135,0.22131147540983606,0.7734119187950229,0.9720164609053498,0.8614150255288111
germany,0.6248043137937033,0.5931321697797949,0.6826923076923077,0.36965414652287093,0.47961399276236427,0.6051712089447938,0.8490196078431372,0.7066503467972256
turkey,0.7377347062386432,0.4323081443364462,0.3684210526315789,0.008130081300813009,0.015909090909090907,0.7398720682302772,0.9950839819746006,0.8487071977638015
english,0.5938958254508765,0.5904909339304625,0.7566438876233865,0.43591426071741035,0.553150152650569,0.5129367327667611,0.8090557044980637,0.627831715210356
france,0.6661073825503355,0.6470473575942892,0.8206349206349206,0.43083333333333335,0.5650273224043716,0.6106043329532497,0.9045608108108109,0.729067392784207
bengali,0.6534839924670434,0.47431682816728626,0.4180790960451977,0.10466760961810467,0.167420814479638,0.674884437596302,0.9273112208892026,0.7812128418549346
italy,0.5798150381986329,0.5672364822751816,0.6088516746411483,0.41483292583537085,0.493456131846825,0.5651120533010296,0.7404761904761905,0.6410168327035383
