model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6551070499890641,0.6010663947472858,0.8168741355463347,0.31458399914775753,0.45423780956775883,0.6206256080662755,0.9408268156424581,0.7478949799268128
china,0.599220706930142,0.5402300484836421,0.7006472491909385,0.2565165876777251,0.375542064180399,0.5781512605042017,0.9028871391076115,0.7049180327868853
hindi,0.6236210253082414,0.6075328333048644,0.9026425591098748,0.37320299022426684,0.5280716029292107,0.5387219636055861,0.9478778853313478,0.6869940636805181
spanish,0.6653948241539482,0.6007876108080471,0.7729044834307992,0.3077221575475359,0.4401887316125451,0.6433426629348261,0.9324833381628513,0.7613864900035491
korean,0.6582633053221288,0.540465097876297,0.7331081081081081,0.1947935368043088,0.3078014184397163,0.649609375,0.9546498277841562,0.7731287773128778
portuguese,0.7739938080495357,0.5526583994129294,0.7215189873417721,0.1425,0.23799582463465555,0.7766927083333334,0.9818930041152263,0.8673209741912032
germany,0.645503565837537,0.5947231829122439,0.817560975609756,0.31164001487541837,0.45126548196015076,0.6081710414902625,0.9388888888888889,0.7381808838643371
turkey,0.774984857662023,0.5625673630314002,0.9214285714285714,0.14982578397212543,0.25774225774225773,0.7685009487666035,0.9954936501433839,0.8673924683205426
english,0.6091562618236852,0.6005476301426281,0.8358413132694938,0.40091863517060367,0.5419068736141907,0.522489539748954,0.8927613941018767,0.6591883866710656
france,0.6807885906040269,0.6527885350920657,0.9329388560157791,0.39416666666666667,0.5541886350322203,0.6126798082045818,0.9712837837837838,0.7513884351519111
bengali,0.67984934086629,0.4832996813194833,0.6261682242990654,0.09476661951909476,0.16461916461916462,0.6826970748636589,0.9717713479181369,0.801980198019802
italy,0.6328910333735425,0.5972322467361375,0.801923076923077,0.33985330073349634,0.477389811104751,0.5882053889171327,0.9182539682539682,0.717074682367524
