model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5703905319691852,0.46994260487470796,0.6228148812191843,0.14802386278896346,0.23919779652263728,0.5640145010494181,0.9247821229050279,0.7006874132267786
china,0.5299192875034789,0.44055797653166573,0.4989339019189765,0.1386255924170616,0.21696801112656466,0.5345710627400768,0.8766404199475065,0.6641479419367667
hindi,0.5038935756002596,0.4557094238917697,0.7464788732394366,0.18286371477860838,0.2937644341801386,0.46498493975903615,0.9195830230826508,0.6176544136034009
spanish,0.5953881884538819,0.49487184165031184,0.5905511811023622,0.17462165308498254,0.2695417789757412,0.5960881124192936,0.9095914227760069,0.7202019043248824
korean,0.6204481792717087,0.45121123704651733,0.5961538461538461,0.08348294434470377,0.14645669291338584,0.6218518518518519,0.9638346727898967,0.7559657811796489
portuguese,0.7535603715170278,0.4440667704549386,0.6,0.015,0.02926829268292683,0.7545171339563863,0.9967078189300411,0.8588652482269503
germany,0.5649678204905201,0.4785842280226496,0.6305555555555555,0.16883599851245817,0.2663537694338516,0.5555776496321336,0.9130718954248366,0.6908146866114476
turkey,0.738037552998183,0.42688737217116146,0.25,0.0023228803716608595,0.004602991944764097,0.7392228293867638,0.9975419909873003,0.8491717523975588
english,0.4657586076428301,0.4224609755174892,0.6416526138279932,0.16644794400699914,0.26432789162903786,0.4348212961589797,0.8733988680369378,0.5805940594059406
france,0.5562080536912751,0.47116858719535715,0.8114035087719298,0.15416666666666667,0.25910364145658266,0.5292207792207793,0.9636824324324325,0.6832335329341317
bengali,0.6581920903954802,0.43442680672515477,0.38271604938271603,0.04384724186704385,0.07868020304568528,0.6691140479686735,0.9647141848976711,0.7901734104046243
italy,0.536389223964616,0.47604631824139343,0.5889423076923077,0.19967400162999185,0.29823493609251367,0.5258329309512313,0.8642857142857143,0.6538577003902732
