model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5874747867505893,0.47923438418800174,0.7488243430152144,0.14418877170555022,0.2418151770958953,0.5719347791335856,0.9594189944134078,0.7166535912801082
china,0.5521848037851378,0.4484850392829426,0.6138328530259366,0.12618483412322276,0.20933660933660933,0.5455945779420825,0.9296587926509187,0.6876334692292758
hindi,0.5194678780012979,0.46126735087585735,0.8909090909090909,0.16906267970097758,0.28419526341227647,0.47492732558139533,0.9731943410275503,0.6383394383394383
spanish,0.6048440610484406,0.4869087676673426,0.6737967914438503,0.14668218859138532,0.24091778202676864,0.5977684287543442,0.9469718922051579,0.7328997533079166
korean,0.6323529411764706,0.47772657450076805,0.6702127659574468,0.11310592459605028,0.1935483870967742,0.6296851574212894,0.9644087256027555,0.7619047619047619
portuguese,0.7597523219814242,0.5169441874807277,0.5857142857142857,0.1025,0.17446808510638298,0.7676375404530744,0.9761316872427983,0.8594202898550725
germany,0.5821882066446339,0.4863778203084226,0.7487001733102253,0.16065451840833023,0.2645437844458053,0.5636117556071152,0.9526143790849673,0.7082118561710399
turkey,0.7516656571774682,0.5120145449092818,0.6614173228346457,0.0975609756097561,0.1700404858299595,0.7552755905511811,0.9823842687423188,0.853988603988604
english,0.4898473956362719,0.43262811006306756,0.8140643623361145,0.1493875765529309,0.25244871557937537,0.45148095909732017,0.9535299374441466,0.6128075045467598
france,0.5633389261744967,0.47861809037308284,0.8565022421524664,0.15916666666666668,0.2684469430780042,0.5330865340120314,0.972972972972973,0.6887892376681615
bengali,0.6746704331450094,0.46221956938256625,0.5975609756097561,0.06930693069306931,0.12420785804816223,0.6777668952007836,0.976711362032463,0.8002312807169703
italy,0.5713711298753519,0.49085508718183507,0.7970479704797048,0.17603911980440098,0.2883845126835781,0.5437725631768953,0.9563492063492064,0.693325661680092
