model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5554448467763493,0.40676932589320147,0.6354929577464788,0.06008309364014062,0.10978636429996594,0.5518362371107838,0.9710837988826816,0.703752287486437
china,0.5346507097133315,0.368006140364904,0.6333333333333333,0.022511848341232227,0.043478260869565216,0.53297480894424,0.9884514435695538,0.6925340198602428
hindi,0.4737183646982479,0.38114748213016814,0.8874172185430463,0.07705577918343876,0.14179894179894179,0.4524053224155578,0.9873417721518988,0.6204960224613945
spanish,0.5783012607830126,0.4171012014508281,0.5622775800711743,0.0613116026387272,0.11056682995101469,0.579084739864277,0.9643581570559259,0.7236355729506414
korean,0.6109943977591037,0.39001283215825366,0.5652173913043478,0.011669658886894075,0.022867194371152155,0.6113660430638899,0.9942594718714122,0.7571584699453552
portuguese,0.7523219814241486,0.4293286219081272,0.0,0.0,0.0,0.7523219814241486,1.0,0.8586572438162544
germany,0.5473995477474344,0.4022445134311487,0.6916299559471366,0.05838601710673113,0.10768175582990398,0.5414704817095255,0.9771241830065359,0.6968072710323934
turkey,0.7389460932768019,0.42493904562870083,0.0,0.0,0.0,0.7391699485004544,0.9995903318312167,0.8498780912574017
english,0.43851683692773363,0.3686893269516779,0.5833333333333334,0.09186351706036745,0.15873015873015872,0.42405326674989596,0.9106344950848972,0.578648495173197
france,0.5260067114093959,0.4053130477397251,0.8181818181818182,0.075,0.13740458015267176,0.5118733509234829,0.9831081081081081,0.6732215153267784
bengali,0.6633709981167608,0.4001485942204669,0.1,0.0014144271570014145,0.002789400278940028,0.6660359508041628,0.9936485532815809,0.7975077881619937
italy,0.5235223160434258,0.4157857646229739,0.609375,0.09535452322738386,0.1649048625792812,0.5163398692810458,0.9404761904761905,0.6666666666666666
