model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5646552771634791,0.422291559927616,0.7207392197125256,0.07478427612655801,0.1355081555834379,0.5568990586974822,0.9756871508379888,0.7090749642717942
china,0.5357639855274144,0.404479872173996,0.5458715596330275,0.07049763033175356,0.1248688352570829,0.5351111111111111,0.9480314960629921,0.6840909090909091
hindi,0.4798831927319922,0.39592442302846126,0.8505154639175257,0.09488211615871191,0.17071908949818934,0.4549861495844875,0.9784065524944154,0.6211297565587331
spanish,0.5865958858659589,0.4255078032975472,0.6640926640926641,0.06674427629025999,0.12129760225669958,0.5831166579996533,0.9747899159663865,0.7297180043383948
korean,0.6197478991596639,0.4367203549645936,0.6228070175438597,0.06373429084380611,0.11563517915309446,0.6196207148067104,0.9753157290470723,0.7578055307760928
portuguese,0.7504643962848297,0.46468858593958834,0.45714285714285713,0.04,0.0735632183908046,0.7569620253164557,0.9843621399176955,0.8558139534883721
germany,0.5560967124717342,0.42574985674518806,0.7133956386292835,0.08516177017478617,0.1521594684385382,0.5467943994104643,0.9699346405228758,0.6993402450518379
turkey,0.7447001817080557,0.4652539124972265,0.6666666666666666,0.041811846689895474,0.07868852459016394,0.7459975369458128,0.9926259729619009,0.851819300404289
english,0.45768697187539414,0.3733370632619917,0.8035714285714286,0.07874015748031496,0.14342629482071714,0.43697366662210935,0.9737861185582365,0.6032478317032662
france,0.5348154362416108,0.416641237105668,0.9099099099099099,0.08416666666666667,0.15408085430968727,0.5164980202375715,0.9915540540540541,0.6792016199016488
bengali,0.6694915254237288,0.4256186631329163,0.5757575757575758,0.026874115983026876,0.051351351351351354,0.6709708273553324,0.9901199717713479,0.7998859749144812
italy,0.5351829513470044,0.42239111112539796,0.7204968944099379,0.0945395273023635,0.16714697406340057,0.5223559759243336,0.9642857142857143,0.6776352481873954
