model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5562711122992053,0.4195994896412415,0.6069796427087661,0.07782038990092681,0.13795382654265614,0.5531206442620412,0.9577206703910615,0.7012451527398269
china,0.5276927358753131,0.40146934142221735,0.4823529411764706,0.07286729857819906,0.12660833762223367,0.5311563810665069,0.9307086614173228,0.676330345222201
hindi,0.4772874756651525,0.4020884926978622,0.756,0.10868315123634273,0.19004524886877827,0.452683615819209,0.9545793000744601,0.6141317365269461
spanish,0.5824485733244857,0.4235284869324748,0.6048951048951049,0.06713232440822663,0.12085225288159274,0.5813305468477882,0.9672558678643871,0.7262047209833569
korean,0.6123949579831933,0.4347774707765304,0.524822695035461,0.06642728904847396,0.11792828685258964,0.6169429097605893,0.9615384615384616,0.7516266547004712
portuguese,0.7448916408668731,0.4661311235493479,0.375,0.045,0.08035714285714286,0.7562220804084238,0.9753086419753086,0.8519051042415529
germany,0.5449643416246304,0.42231314675537185,0.5888077858880778,0.08999628114540721,0.15612903225806452,0.5415886099662796,0.9447712418300653,0.6884972612526792
turkey,0.7392489400363416,0.4284209885083954,0.5,0.003484320557491289,0.006920415224913495,0.7396844660194175,0.9987709954936501,0.8499215617918773
english,0.4440660865178459,0.36973283520314887,0.6293375394321766,0.08727034120734908,0.15328467153284672,0.42796435915010284,0.9299970211498362,0.586180998873451
france,0.5218120805369127,0.4034259282836203,0.7459016393442623,0.07583333333333334,0.13767019667170954,0.5097259062776304,0.9738175675675675,0.669181659895531
bengali,0.6629001883239172,0.4178799399194333,0.38461538461538464,0.021216407355021217,0.040214477211796246,0.66810551558753,0.9830628087508821,0.7955454026270703
italy,0.527945315641335,0.4267317004977672,0.6232558139534884,0.10920945395273024,0.18585298196948682,0.5189260563380281,0.9357142857142857,0.6676104190260476
