model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5636832000777662,0.41868666105488045,0.7247807017543859,0.07041653350378183,0.1283619768909603,0.5562110616656071,0.9775642458100559,0.7090113452188006
china,0.5407737266907876,0.40155112473199034,0.6104651162790697,0.06220379146919431,0.11290322580645161,0.5372698041508331,0.9648293963254593,0.690199023657529
hindi,0.48150551589876706,0.400319599920514,0.8373205741626795,0.10063254744105808,0.17967145790554415,0.4556213017751479,0.9746835443037974,0.6209677419354839
spanish,0.5864299933642999,0.41738640427777635,0.7058823529411765,0.05587892898719441,0.10355987055016182,0.5822458791208791,0.9826137351492321,0.7312129380053909
korean,0.6179971988795518,0.41771045302554927,0.6716417910447762,0.04039497307001795,0.07620660457239628,0.6167084976694156,0.9873708381171068,0.7592143014787023
portuguese,0.7486068111455109,0.4532526833303315,0.39285714285714285,0.0275,0.0514018691588785,0.7548834278512917,0.9860082304526749,0.8551034975017845
germany,0.5524439032875282,0.42015304687464783,0.6847133757961783,0.07995537374488658,0.1431901431901432,0.5448022079116835,0.9676470588235294,0.6971159505591524
turkey,0.7422774076317383,0.44374493605347803,0.7272727272727273,0.018583042973286876,0.0362400906002265,0.7423780487804879,0.9975419909873003,0.8512497815067296
english,0.45655189809559843,0.37566273129250616,0.7614314115308151,0.08377077865266842,0.150935960591133,0.4359008887691893,0.9642537980339589,0.6003895019938793
france,0.5268456375838926,0.4023724185014508,0.875,0.07,0.12962962962962962,0.5122377622377622,0.9898648648648649,0.6751152073732719
bengali,0.6680790960451978,0.412448132780083,0.5625,0.01272984441301273,0.024896265560165973,0.6688804554079696,0.995059985885674,0.8
italy,0.5375954965822276,0.43328088961455846,0.6994818652849741,0.1100244498777506,0.19014084507042253,0.5239755884917175,0.953968253968254,0.6764209341586944
