model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6230042042333958,0.5868802039233258,0.659743313412364,0.3586875466070097,0.4647182636900038,0.6108848813909896,0.844782122905028,0.709042144156648
china,0.543556916225995,0.5250636577768235,0.520066889632107,0.3684834123222749,0.43134535367545074,0.5552774301209845,0.6986876640419948,0.6187819618781962
hindi,0.6937053861129137,0.6936113282829645,0.7845382963493199,0.6302472685451409,0.6989795918367347,0.6183976261127596,0.7758749069247952,0.6882430647291942
spanish,0.6290643662906437,0.576029210452148,0.6292645943896892,0.3220799379123011,0.4260780287474333,0.6290082820131663,0.8583019414662417,0.7259803921568627
korean,0.6071428571428571,0.5454727014005043,0.49420289855072463,0.30610412926391384,0.3780487804878049,0.6431209602954755,0.7996555683122847,0.7128966223132037
portuguese,0.7417956656346749,0.5272278113923597,0.4330708661417323,0.1375,0.20872865275142316,0.7681451612903226,0.9407407407407408,0.8457269700332963
germany,0.6001043659766916,0.5600837697868594,0.6470588235294118,0.3190777240609892,0.4273972602739726,0.5860275830884015,0.8470588235294118,0.6927702792997461
turkey,0.7401574803149606,0.4631016407609128,0.5217391304347826,0.041811846689895474,0.07741935483870968,0.7448190535106712,0.9864809504301516,0.848783926683116
english,0.5643839071761887,0.5579168856627412,0.7331109257714762,0.38451443569553806,0.5044476327116212,0.491231242090038,0.8093535895144475,0.6113861386138614
france,0.6661073825503355,0.6495627438075379,0.8033033033033034,0.44583333333333336,0.5734190782422294,0.6129220023282888,0.8893581081081081,0.7257064093728464
bengali,0.6581920903954802,0.4890732290466957,0.4512820512820513,0.12446958981612447,0.1951219512195122,0.6791083462934163,0.9244883556810163,0.7830245068738793
italy,0.5894652191395255,0.5764476929638722,0.625,0.41972290138549306,0.5021940516821063,0.571858087793145,0.7547619047619047,0.650701334245638
