model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6632481955819096,0.6267470232248682,0.7585989271063427,0.38414829018855867,0.5100243980057282,0.6345995828329436,0.8974301675977654,0.7434696484440083
china,0.5986640690231004,0.5689739110179362,0.6278586278586279,0.3578199052132701,0.45584905660377356,0.5879893576586849,0.8120734908136483,0.6820987654320988
hindi,0.7345879299156391,0.7342369636671453,0.8740861088545898,0.6187464059804485,0.7245791245791245,0.6418152350081038,0.8845867460908414,0.743894802755166
spanish,0.6667219641672196,0.6265524617343733,0.6926729986431479,0.39619712844392707,0.5040730683781782,0.6583223539745279,0.8687337003767024,0.7490318550905684
korean,0.6582633053221288,0.5696457684896992,0.6547085201793722,0.2621184919210054,0.37435897435897436,0.6589211618257261,0.9115958668197475,0.7649325626204239
portuguese,0.7752321981424148,0.6051225056832534,0.6193548387096774,0.24,0.34594594594594597,0.7917808219178082,0.951440329218107,0.8642990654205608
germany,0.643764132892677,0.6065071299567805,0.7482571649883811,0.35924135366307175,0.48542713567839196,0.6135038133692239,0.8937908496732027,0.7275871242351689
turkey,0.7795275590551181,0.6000412627739898,0.7903930131004366,0.21022067363530778,0.3321100917431193,0.7787178652782297,0.9803359278984023,0.8679724338048603
english,0.5971749274813974,0.5903830066670332,0.7949486301369864,0.4061679790026247,0.5376375217139548,0.514571786161273,0.8573130771522193,0.6431284916201118
france,0.7072147651006712,0.6869896279687446,0.9342560553633218,0.45,0.6074240719910011,0.6345514950166113,0.9679054054054054,0.7665551839464882
bengali,0.6765536723163842,0.5161277165397674,0.5515463917525774,0.15134370579915135,0.23751387347391786,0.689119170984456,0.9386026817219478,0.794741559605617
italy,0.6405307599517491,0.6142626052053031,0.7725040916530278,0.38467807660961695,0.5136017410228509,0.597547974413646,0.8896825396825396,0.7149234693877551
