model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6271598337748183,0.5973000449548584,0.6536257833482543,0.3888888888888889,0.48764360138925994,0.6172987758097335,0.8270837988826816,0.7069564885204569
china,0.5441135541330364,0.5242030671759655,0.5213675213675214,0.3613744075829384,0.4268719384184745,0.555096987205943,0.7060367454068242,0.6215341959334566
hindi,0.6537962362102531,0.6528955069492273,0.7833052276559865,0.5342150661299597,0.6352136752136752,0.5727848101265823,0.8086373790022338,0.6705773386847792
spanish,0.6330457863304578,0.5898619439271471,0.6220735785953178,0.3608847497089639,0.4567779960707269,0.6366644606221046,0.8362793393219357,0.7229458917835672
korean,0.6015406162464986,0.5500668643525787,0.4845360824742268,0.3375224416517056,0.3978835978835979,0.6451923076923077,0.7703788748564868,0.7022501308215594
portuguese,0.7424148606811145,0.5202595785276459,0.43103448275862066,0.125,0.1937984496124031,0.7665110073382255,0.945679012345679,0.8467207074428887
germany,0.6016698556270655,0.5749664563002106,0.6232242124768376,0.37523242841204907,0.46843082636954503,0.5932203389830508,0.8006535947712419,0.6815020862308763
turkey,0.7389460932768019,0.46539472893376604,0.4936708860759494,0.04529616724738676,0.08297872340425531,0.7449581135587962,0.9836132732486685,0.8478107344632768
english,0.595535376466137,0.5948504977433675,0.7251732101616628,0.48075240594925633,0.5781928186242273,0.5153123723968966,0.751861781352398,0.6115081768625076
france,0.6791107382550335,0.6639102079884536,0.8212703101920237,0.4633333333333333,0.5924347362813,0.622729935559461,0.8978040540540541,0.7353856796956071
bengali,0.6596045197740112,0.45419746535269995,0.4298245614035088,0.06930693069306931,0.11936662606577345,0.672636815920398,0.9541284403669725,0.7890283046396265
italy,0.5882589465219139,0.5797932864289769,0.6119073869900772,0.45232273838630804,0.5201499531396439,0.5746835443037974,0.7206349206349206,0.6394366197183099
