model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6652652555347639,0.6385810920144237,0.7233339288904771,0.4312879514221796,0.5403764014949279,0.643565348022033,0.861586592178771,0.7367857825339194
china,0.5864180350681881,0.5600894388468723,0.5984405458089669,0.3637440758293839,0.4524686809137804,0.5816127775613557,0.7837270341207349,0.6677101967799642
hindi,0.6872160934458144,0.6852105823478355,0.853236098450319,0.5382403680276021,0.6600846262341326,0.5954659949622166,0.8801191362620998,0.7103365384615384
spanish,0.6758460517584605,0.6518682061803993,0.6666666666666666,0.4835079549864183,0.5605038236617184,0.679971146910315,0.8194726166328601,0.7432325886990802
korean,0.6449579831932774,0.5916382391163093,0.5704225352112676,0.3635547576301616,0.4440789473684211,0.6696178937558248,0.8249138920780712,0.7391975308641975
portuguese,0.76656346749226,0.6054596906041404,0.5628415300546448,0.2575,0.35334476843910806,0.7925977653631285,0.934156378600823,0.8575746127691727
germany,0.6514176378500609,0.6245089705916862,0.725180802103879,0.41018966158423203,0.5239904988123515,0.6248817407757805,0.8633986928104576,0.7250274423710209
turkey,0.7683222289521502,0.576274328081557,0.7201834862385321,0.18234610917537747,0.29101019462465244,0.7717250324254216,0.9750102417042196,0.8615384615384616
english,0.6261823685206205,0.6248473309543099,0.7787794729542302,0.49125109361329833,0.6024678111587983,0.5389494549058473,0.8099493595472148,0.6472268507498214
france,0.712248322147651,0.697286987862782,0.8929663608562691,0.4866666666666667,0.6299892125134844,0.6439306358381502,0.9408783783783784,0.7645847632120796
bengali,0.6732580037664784,0.5410464490674318,0.5234657039711191,0.2050919377652051,0.29471544715447157,0.6957227937195453,0.9068454481298518,0.7873774509803921
italy,0.6517893043827905,0.6368145529012449,0.7390728476821192,0.4547677261613692,0.5630676084762866,0.6137413394919169,0.8436507936507937,0.7105614973262032
