model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5705363435320421,0.4567400452554958,0.655561829474873,0.1236816874400767,0.2081018103602796,0.5625282527189087,0.9454748603351956,0.7053782801507119
china,0.5315892012246034,0.42174145832960785,0.5073746312684366,0.1018957345971564,0.1697089294523927,0.5341118623232944,0.9123359580052494,0.673773987206823
hindi,0.5262816353017521,0.48923837752036814,0.7719298245614035,0.22771707878090858,0.35168738898756663,0.47722849357726743,0.9128816083395384,0.6267893660531697
spanish,0.5885865958858659,0.4285531677994352,0.685823754789272,0.06946061311602639,0.12614517265680056,0.5841858852089474,0.9762387713706172,0.7309611629420698
korean,0.6130952380952381,0.4258460950682925,0.5405405405405406,0.05385996409335727,0.09795918367346938,0.6160291438979963,0.970723306544202,0.7537330064631157
portuguese,0.7504643962848297,0.4496439591438784,0.42857142857142855,0.0225,0.04275534441805225,0.7547051442910916,0.9901234567901235,0.8565325738697045
germany,0.5552269959993043,0.44965105152520096,0.6217712177121771,0.1253253997768687,0.20860414732281027,0.5483003648934127,0.9330065359477124,0.6906979557275916
turkey,0.7395517867958813,0.4262732937826945,1.0,0.0011614401858304297,0.002320185614849188,0.7394728870039382,1.0,0.8502264019505399
english,0.469037709673351,0.4230306941796103,0.6618962432915921,0.16185476815398075,0.2601054481546573,0.437380707678755,0.8873994638069705,0.5859559402045633
france,0.5515939597315436,0.46588434371156157,0.7860262008733624,0.15,0.25192442267319803,0.5266821345707656,0.9586148648648649,0.6798442647499251
bengali,0.6652542372881356,0.3994910941475827,0.0,0.0,0.0,0.6665094339622641,0.9971771347918137,0.7989821882951654
italy,0.5440289505428226,0.4825898229958611,0.6153846153846154,0.20211898940505296,0.3042944785276074,0.5302303262955854,0.876984126984127,0.6608851674641149
