model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5910228681134414,0.4945928398480187,0.7209725062485799,0.16901033343986363,0.27382955771305284,0.5754598889735496,0.9451173184357542,0.7153561219829846
china,0.5446701920400779,0.46192328929234167,0.5524193548387096,0.1623222748815166,0.2509157509157509,0.5434291249596384,0.8834645669291339,0.6729308276689324
hindi,0.5418559377027904,0.5011895477517799,0.8531317494600432,0.22714203565267396,0.35876475930971846,0.4868270332187858,0.9493670886075949,0.6436143361938415
spanish,0.6050099535500996,0.497031795173349,0.648936170212766,0.1656965463717501,0.26398763523956725,0.5996275605214153,0.9330628803245437,0.7300759551071307
korean,0.6302521008403361,0.49797822084766247,0.605072463768116,0.14991023339317774,0.24028776978417266,0.6329457364341086,0.9374282433983927,0.7556686719111523
portuguese,0.7585139318885449,0.4829598812658843,0.6388888888888888,0.0575,0.10550458715596331,0.7612412919569348,0.9893004115226337,0.8604151753758053
germany,0.5875804487736997,0.49894353009271303,0.7476635514018691,0.17850502045370026,0.2882017412188532,0.567456432347758,0.9470588235294117,0.7096853189665728
turkey,0.7562083585705633,0.5011881476849839,0.85,0.07897793263646923,0.14452709883103082,0.7538795779019243,0.9950839819746006,0.857849196538937
english,0.49363097490225755,0.447724794119415,0.7600373482726424,0.17804024496937884,0.2884990253411306,0.4520268299795859,0.9234435507893953,0.6069505628976994
france,0.5801174496644296,0.5072068182019991,0.8726591760299626,0.19416666666666665,0.3176550783912747,0.543221539914974,0.9712837837837838,0.6967585580127235
bengali,0.6694915254237288,0.4409713213647809,0.5423728813559322,0.04526166902404526,0.0835509138381201,0.6731234866828087,0.9809456598447425,0.7983917288914417
italy,0.573783675110575,0.5083990362739905,0.7365439093484419,0.21189894050529748,0.3291139240506329,0.5468603561387066,0.9261904761904762,0.6876841484973483
