model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.555493450630635,0.3968837742718084,0.6897093479968578,0.046766805156066904,0.08759415373871403,0.5512087471160598,0.9823463687150839,0.7061733948049027
china,0.5315892012246034,0.37276694791969744,0.5257731958762887,0.030213270142180094,0.05714285714285714,0.5317505720823799,0.9758530183727034,0.6883910386965377
hindi,0.4798831927319922,0.3966014139015125,0.8434343434343434,0.09603220241518114,0.1724315952503872,0.4549237170596394,0.9769173492181683,0.6207712325526378
spanish,0.5761446582614466,0.38059397913091947,0.671875,0.016686069072564997,0.03256342294585384,0.5751173708920188,0.9939148073022313,0.7286245353159851
korean,0.6120448179271709,0.3904503017652865,0.65,0.011669658886894075,0.02292768959435626,0.6117771509167842,0.9959816303099885,0.7579729139362167
portuguese,0.7510835913312693,0.43375047098061653,0.3333333333333333,0.005,0.009852216748768473,0.7526413921690491,0.9967078189300411,0.8576487252124646
germany,0.5425291355018264,0.383628259419725,0.7092198581560284,0.03718854592785422,0.0706713780918728,0.5383380884450785,0.9866013071895425,0.6965851407475773
turkey,0.7392489400363416,0.4250391781298973,0.0,0.0,0.0,0.7392489400363416,1.0,0.8500783562597946
english,0.44368772859124733,0.3631289466520722,0.6499068901303539,0.07633420822397201,0.13662164807202976,0.42870670995670995,0.9439976169198689,0.5896362452321147
france,0.5151006711409396,0.3758681758681759,0.8793103448275862,0.0425,0.08108108108108109,0.5060189165950129,0.9940878378378378,0.6706552706552706
bengali,0.667608286252354,0.4016949152542373,1.0,0.0014144271570014145,0.002824858757062147,0.6674517192651908,1.0,0.8005649717514124
italy,0.5271411338962606,0.40977961321319767,0.6688741721854304,0.08231458842705787,0.14658925979680695,0.5179794520547946,0.9603174603174603,0.6729699666295884
