model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5658217696663346,0.42856621078009893,0.7056159420289855,0.08298710983274742,0.14850824516252026,0.557895277471046,0.9709497206703911,0.7086241763976776
china,0.5396604508767047,0.4126141794420073,0.5726495726495726,0.07938388625592417,0.13943808532778357,0.5373623102113725,0.94750656167979,0.685790273556231
hindi,0.4889682024659312,0.4160633904111525,0.8228346456692913,0.12018401380103508,0.20973406924234822,0.458981612446959,0.9664929262844378,0.6223927115799568
spanish,0.5851028533510285,0.43288355194197337,0.6158536585365854,0.07838571982925883,0.13907056798623063,0.5833333333333334,0.9634888438133874,0.7266965358977161
korean,0.6179971988795518,0.4448500911591564,0.5782312925170068,0.0763016157989228,0.13481363996827914,0.6201550387596899,0.9644087256027555,0.7548865423500337
portuguese,0.7486068111455109,0.4421634553213501,0.3333333333333333,0.015,0.028708133971291867,0.7532874139010645,0.9901234567901235,0.8556187766714083
germany,0.5564445990607062,0.42521252310135993,0.7220447284345048,0.08404611379695054,0.15056628914057296,0.5469094922737306,0.9715686274509804,0.6998587570621468
turkey,0.7453058752271351,0.4575337178090471,0.7777777777777778,0.032520325203252036,0.06243032329988852,0.7449479485609308,0.9967226546497338,0.8526371123182057
english,0.45781309118426033,0.37968162041271913,0.7513812154696132,0.08923884514435695,0.15953079178885632,0.43623070674248576,0.9597855227882037,0.599832449036582
france,0.5335570469798657,0.4169892898770645,0.8728813559322034,0.08583333333333333,0.15629742033383914,0.5158870255957635,0.987331081081081,0.6776811594202898
bengali,0.667608286252354,0.4148257992007992,0.5238095238095238,0.015558698727015558,0.03021978021978022,0.6690442225392297,0.9929428369795342,0.7994318181818182
italy,0.5452352231604343,0.4433492253129927,0.7448979591836735,0.11898940505297473,0.20520028109627547,0.5281536446966391,0.9603174603174603,0.68149816952971
