model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6678655617390459,0.6303309044297833,0.7756666306812048,0.3827101310322787,0.5125370046723972,0.6365489556545192,0.9071284916201118,0.7481248041871694
china,0.5975507932090175,0.5357419867235318,0.7037037037037037,0.2476303317535545,0.3663453111305872,0.5765255085028342,0.9076115485564304,0.7051386623164764
hindi,0.6135626216742375,0.5926068933798129,0.9254658385093167,0.34272570442783207,0.5002098195551825,0.5311730926989335,0.964259121370067,0.6850039672044432
spanish,0.6672196416721964,0.6351168865027713,0.671677690920024,0.4334497477687233,0.5268867924528302,0.6655211912943871,0.8417849898580122,0.7433469805527124
korean,0.6526610644257703,0.5423854635953489,0.6794117647058824,0.2073608617594255,0.3177441540577717,0.6490461049284578,0.9374282433983927,0.7670267731329262
portuguese,0.7715170278637771,0.6237976467112477,0.5763546798029556,0.2925,0.3880597014925373,0.7995750708215298,0.9292181069958848,0.8595355919299581
germany,0.6755957557836145,0.6370276709279642,0.8473861720067454,0.37374488657493493,0.5187096774193548,0.6309445540214771,0.9408496732026144,0.7553456644365736
turkey,0.7692307692307693,0.6042448779290884,0.6601941747572816,0.23693379790940766,0.3487179487179487,0.7804878048780488,0.956984842277755,0.8597718071402282
english,0.6420734014377601,0.6382134361271726,0.8416075650118203,0.4671916010498688,0.60084388185654,0.5481357818586533,0.8802502234137622,0.6755829903978052
france,0.7374161073825504,0.7225408421879276,0.9541139240506329,0.5025,0.6582969432314411,0.6592465753424658,0.9755067567567568,0.7867847411444142
bengali,0.6709039548022598,0.5986901198110594,0.5077519379844961,0.37057991513437055,0.428454619787408,0.7232587064676617,0.8207480592801694,0.7689256198347107
italy,0.6489746682750301,0.6255529005559403,0.7774294670846394,0.4042379788101059,0.5319034852546917,0.6046511627906976,0.8873015873015873,0.7192023158571889
