model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6923862062261538,0.6726782781509365,0.7490633653689526,0.48987962075210395,0.5923612005667912,0.668283052197707,0.8623016759776536,0.7529953557350818
china,0.6181463957695519,0.5867056888713609,0.6728665207877462,0.36433649289099523,0.4727132974634896,0.5994774169466218,0.8430446194225721,0.7006980802792321
hindi,0.6992212848799481,0.6952688399356495,0.9092741935483871,0.518688901667625,0.660563896008788,0.5995215311004785,0.9329858525688757,0.7299737838625109
spanish,0.6839747843397479,0.6654905437533017,0.6651917404129793,0.5250291036088475,0.586857514638907,0.6935403104656985,0.8026658939437844,0.7441235728676965
korean,0.6691176470588235,0.5957066034198633,0.660952380952381,0.3114901256732496,0.42342892007321536,0.670956670956671,0.8978185993111366,0.7679842867665112
portuguese,0.7653250773993808,0.6554508604370101,0.5346534653465347,0.405,0.46088193456614507,0.8185975609756098,0.8839506172839506,0.850019786307875
germany,0.7105583579753001,0.6926698782596539,0.8063359234907352,0.5016734845667534,0.6185236130215498,0.6712463199214916,0.8941176470588236,0.7668161434977578
turkey,0.7662023016353725,0.6303016591251885,0.6013667425968109,0.30662020905923343,0.40615384615384614,0.7914774711840726,0.9283080704629251,0.8544494720965309
english,0.670954723168117,0.6707656736933578,0.8099147458162299,0.5610236220472441,0.6628763406124822,0.5785384292314154,0.8206732201370271,0.6786550067742333
france,0.761744966442953,0.7538864190709527,0.91688654353562,0.5791666666666667,0.7099080694586313,0.6894218942189422,0.9467905405405406,0.797864768683274
bengali,0.6727871939736346,0.6219319329958626,0.5094043887147336,0.4596888260254597,0.483271375464684,0.7429340511440108,0.7791107974594214,0.760592490527041
italy,0.669481302774427,0.6595388425832169,0.7425149700598802,0.5052974735126324,0.6013579049466538,0.6325665859564165,0.8293650793650794,0.7177197802197802
