model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7021798828647112,0.6734364831265917,0.8205960460312777,0.44439117929050814,0.5765522960505857,0.6633206377896843,0.9184804469273743,0.7703206702025976
china,0.6136932925132201,0.5670786714270138,0.7066115702479339,0.30390995260663506,0.4250207125103563,0.5901639344262295,0.8881889763779528,0.7091366303436715
hindi,0.7504866969500325,0.7503823953330022,0.87890625,0.6469235192639448,0.7452798940046373,0.6592674805771365,0.8845867460908414,0.7554848966613672
spanish,0.6809887193098872,0.6372576345668837,0.7407952871870398,0.39037640667442763,0.5113087674714104,0.6635974304068523,0.8980005795421617,0.7632065016623568
korean,0.6677170868347339,0.5567491101355014,0.7635782747603834,0.21454219030520646,0.33496846531184304,0.6559182068423123,0.9575200918484501,0.7785297549591599
portuguese,0.7628482972136222,0.5519611230507019,0.5794392523364486,0.155,0.2445759368836292,0.7758620689655172,0.9629629629629629,0.8593463092177746
germany,0.7008175334840842,0.6748386142940159,0.837630662020906,0.4470063220528077,0.5829291949563531,0.6553082985628187,0.9238562091503268,0.7667480336316789
turkey,0.7825560266505148,0.5996142791038576,0.8421052631578947,0.20441347270615565,0.32897196261682243,0.7785321694148076,0.9864809504301516,0.8702565955908926
english,0.6879808298650524,0.6873035958176956,0.8510709504685409,0.5562117235345582,0.6727513227513228,0.5893543817041085,0.8674411677092643,0.7018558688840685
france,0.8137583892617449,0.8087976878612717,0.9725,0.6483333333333333,0.778,0.7335858585858586,0.981418918918919,0.8395953757225434
bengali,0.6732580037664784,0.5043150526468705,0.536723163841808,0.13437057991513437,0.2149321266968326,0.6856702619414484,0.9421312632321807,0.7936979785969085
italy,0.6811419380780056,0.6684821060710815,0.7803617571059431,0.49225753871230643,0.6036981509245377,0.6363105662580268,0.8650793650793651,0.7332660612176253
