model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7562759726846339,0.745861384754958,0.8113207547169812,0.6069564291040801,0.6944148206831409,0.7277523612750886,0.8815642458100559,0.797307948826775
china,0.6501530754244365,0.6380889717246454,0.6725380304243395,0.4976303317535545,0.5720122574055159,0.6382252559726962,0.7853018372703412,0.704165686043775
hindi,0.8316028552887735,0.8307005462156991,0.889030612244898,0.8016101207590569,0.8430601753855458,0.7721268163804491,0.870439314966493,0.8183409170458523
spanish,0.7490046449900465,0.732413388502092,0.7728205128205128,0.5847885137757082,0.665783079301966,0.7376164786660128,0.8716314111851637,0.7990436977022181
korean,0.6981792717086834,0.6360511955645018,0.7241992882562278,0.3653500897666068,0.48568019093078757,0.6918047079337402,0.9110218140068886,0.7864222001982161
portuguese,0.8018575851393189,0.6758199847444698,0.6923076923076923,0.36,0.47368421052631576,0.8180525941719972,0.9473251028806584,0.8779557589626239
germany,0.7698730213950252,0.7619941054955763,0.8391261171797418,0.6284864261807364,0.7186901977461195,0.7325301204819277,0.8941176470588236,0.8052980132450331
turkey,0.7995154451847365,0.6633520215905737,0.7917888563049853,0.313588850174216,0.4492512479201331,0.8004052684903749,0.9709135600163867,0.8774527952610144
english,0.7506621263715475,0.7496825967765051,0.8367505839605502,0.705161854768154,0.7653412462908011,0.6692836113837095,0.8126303246946679,0.7340239472622091
france,0.8682885906040269,0.8677650912672701,0.9284332688588007,0.8,0.8594449418084154,0.8222222222222222,0.9375,0.8760852407261247
bengali,0.7161016949152542,0.596318246101855,0.7,0.25742574257425743,0.3764219234746639,0.7183476394849786,0.944954128440367,0.8162145687290461
italy,0.7269802975472457,0.724102477301033,0.7723658051689861,0.6332518337408313,0.6959247648902821,0.6961512491559757,0.8182539682539682,0.752280189711784
