model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7156188485746919,0.6986555128047539,0.7803679035838884,0.5242356450410142,0.6271586057477856,0.6870028384202964,0.8762011173184358,0.7701524198617222
china,0.6270526022822154,0.6099197578475917,0.6510416666666666,0.4443127962085308,0.528169014084507,0.6157312576812781,0.7889763779527559,0.6916705016106764
hindi,0.754704737183647,0.7543918679606149,0.8382656572608397,0.7004025301897643,0.7631578947368421,0.6801718845917741,0.8250186150409531,0.7456258411843876
spanish,0.6909422694094227,0.6599807381749734,0.71875,0.4551804423748545,0.5573770491803278,0.6806187443130118,0.8669950738916257,0.7625844271696189
korean,0.6824229691876751,0.6055209571445866,0.7151767151767152,0.3087971274685817,0.43134796238244516,0.6757894736842105,0.9213547646383468,0.7796939519067282
portuguese,0.7585139318885449,0.559853249475891,0.5384615384615384,0.175,0.2641509433962264,0.7777777777777778,0.9506172839506173,0.8555555555555555
germany,0.7265611410680118,0.7142994614403153,0.7988228999464955,0.5552249907028635,0.6551118911803423,0.6917525773195876,0.8771241830065359,0.7734870317002882
turkey,0.7837674136886735,0.6077327769514131,0.8209606986899564,0.2183507549361208,0.344954128440367,0.780995769606248,0.9832036050798852,0.8705114254624592
english,0.7118173792407617,0.7112739211455872,0.8089705485004053,0.6548556430446194,0.7238003142753535,0.6267738883632923,0.7893952934167411,0.6987475280158207
france,0.8351510067114094,0.8330569991947852,0.9400218102508179,0.7183333333333334,0.8143599433160132,0.7695978186775733,0.9535472972972973,0.8517540550735572
bengali,0.6793785310734464,0.5148126245510627,0.5722222222222222,0.1456859971711457,0.2322435174746336,0.6893004115226338,0.9456598447424136,0.7973817316274918
italy,0.6779252110977081,0.6697197465640831,0.7453917050691244,0.5273023634881826,0.6176610978520286,0.6417541692402717,0.8246031746031746,0.7217783952761375
