model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.756543293883205,0.7513995417359696,0.766042780748663,0.6714605305209332,0.7156400794777179,0.7502126108613777,0.8279329608938547,0.7871590039942211
china,0.6281658780962983,0.6279375909955628,0.5882647943831495,0.6949052132701422,0.637153720803911,0.6779237023139462,0.5690288713910762,0.6187214611872146
hindi,0.8121349772874756,0.8104916392808046,0.8558282208588958,0.8021851638872916,0.8281389136242209,0.7630853994490359,0.8250186150409531,0.7928443649373882
spanish,0.7485069674850697,0.7389048277324908,0.7311546840958606,0.6511447419480015,0.6888341543513957,0.7591749263327083,0.8212112431179368,0.7889755011135857
korean,0.7034313725490197,0.6659204873657053,0.6700636942675159,0.47217235188509876,0.5539757767245919,0.7160791887976823,0.8513203214695751,0.7778651980068187
portuguese,0.7975232198142415,0.6875970519284385,0.642023346303502,0.4125,0.502283105022831,0.8269513991163475,0.9242798353909465,0.8729109988340459
germany,0.7670899286832492,0.7625142156074389,0.7984084880636605,0.6716251394570473,0.7295495859422338,0.7467737310008603,0.8509803921568627,0.795478845272644
turkey,0.8016353725015143,0.6828149035242903,0.7452380952380953,0.3635307781649245,0.4886807181889149,0.8098542678695351,0.9561655059401885,0.8769490888596656
english,0.7683188296128137,0.7649733174933894,0.8178015338136184,0.7696850393700787,0.7930140845070422,0.7095973524544953,0.7664581471551981,0.7369325504797365
france,0.8716442953020134,0.8713072710375735,0.9209039548022598,0.815,0.8647214854111406,0.8320726172465961,0.9290540540540541,0.8778930566640064
bengali,0.716572504708098,0.6052327390743787,0.6816608996539792,0.27864214992927866,0.39558232931726905,0.7220708446866485,0.9350741002117149,0.8148831488314883
italy,0.7289907519099317,0.7285430467008088,0.7385677308024159,0.6976365118174409,0.7175188600167645,0.7206325301204819,0.7595238095238095,0.7395672333848532
