model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6884249921018737,0.6605075542071954,0.7814657210401891,0.44018323212954086,0.5631537701454905,0.6562438673382612,0.8967150837988827,0.7578613382689002
china,0.6100751461174506,0.5876443027817951,0.6344892221180881,0.40106635071090047,0.49147005444646097,0.5997624703087886,0.7952755905511811,0.6838185511171293
hindi,0.7164179104477612,0.7159431428195411,0.8553820870994249,0.5986198964922369,0.7043301759133965,0.6257372654155496,0.8689501116902457,0.7275561097256857
spanish,0.6620769741207697,0.6111771039558774,0.7125984251968503,0.35118354675979824,0.47049649077203015,0.6485918453131568,0.894233555491162,0.7518577171397247
korean,0.6607142857142857,0.5591170756536263,0.6954177897574124,0.23159784560143626,0.3474747474747475,0.6555331991951711,0.9351320321469575,0.7707594038325053
portuguese,0.7640866873065015,0.528154741227596,0.6301369863013698,0.115,0.1945031712473573,0.7704280155642024,0.9777777777777777,0.8618063112078346
germany,0.7037745694903461,0.6836503648431955,0.8062111801242235,0.4827073261435478,0.6038613631076994,0.6639284851413385,0.8980392156862745,0.7634393665786915
turkey,0.771350696547547,0.566113325593137,0.8117647058823529,0.1602787456445993,0.2677012609117362,0.7691570881226054,0.9868906185989349,0.8645253902745379
english,0.6707024845503846,0.6705545855649839,0.8074631545939166,0.5632108486439195,0.663574281664734,0.5786919831223629,0.817098599940423,0.677534889465234
france,0.7818791946308725,0.7746147826871108,0.9497354497354498,0.5983333333333334,0.7341513292433538,0.7039312039312039,0.9679054054054054,0.8150782361308677
bengali,0.6709039548022598,0.47231539181402116,0.5350877192982456,0.08628005657708628,0.14859926918392205,0.6786069651741293,0.9625970359915315,0.7960315144441202
italy,0.6497788500201045,0.6336390320133747,0.7411924119241192,0.44580277098614507,0.5567430025445292,0.6112064036592338,0.8484126984126984,0.71053506148222
