model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7249507885975358,0.7140477719287512,0.7599721059972105,0.5804836475977415,0.6582110285679773,0.7062180610988847,0.8461675977653631,0.7698845152895251
china,0.6164764820484275,0.6098285474000622,0.6079387186629527,0.5171800947867299,0.558898847631242,0.622160407974038,0.7044619422572178,0.6607582471688823
hindi,0.7618429591174561,0.7616396982959182,0.8506629448709002,0.7009775733179988,0.7686002522068096,0.6846573681018799,0.8406552494415488,0.7546791443850267
spanish,0.7113470471134705,0.698202980817869,0.6908344733242134,0.5878928987194412,0.6352201257861635,0.7230769230769231,0.8035352071863228,0.7611858358495746
korean,0.6890756302521008,0.6360653648719778,0.6733128834355828,0.3940754039497307,0.4971687429218573,0.6937386569872959,0.8777267508610792,0.7749619868220984
portuguese,0.7956656346749226,0.6899607673405562,0.6286764705882353,0.4275,0.5089285714285714,0.8294862248696947,0.9168724279835391,0.870992963252541
germany,0.7423899808662376,0.7342192681696237,0.7943469785575049,0.6061732986240238,0.6876186458553047,0.7135515282661617,0.8620915032679739,0.7808198904839426
turkey,0.7895215021199273,0.6638431556138027,0.6966824644549763,0.34146341463414637,0.4583008573655495,0.803125,0.9475624743957395,0.869385453862056
english,0.7129524530205574,0.7124753157474857,0.8119565217391305,0.6535433070866141,0.724188075618032,0.6272064015062367,0.7938635686624963,0.7007625558769393
france,0.8175335570469798,0.8150728864689396,0.9207920792079208,0.6975,0.7937411095305832,0.7538983050847458,0.9391891891891891,0.836404663407296
bengali,0.7095103578154426,0.5905111658065005,0.6654411764705882,0.256011315417256,0.36976506639427986,0.7159827213822895,0.9357798165137615,0.8112572652187213
italy,0.7008443908323281,0.6980085809115195,0.7369970559371933,0.6120619396903015,0.6687444345503116,0.6757493188010899,0.7873015873015873,0.7272727272727273
