model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.6677440521033318,0.6222731934837507,0.8150160533465053,0.35155001597954616,0.49121762429294435,0.631660161568485,0.9330502793296089,0.7533287626745571
china,0.6045087670470359,0.5590186089347727,0.677762982689747,0.3015402843601896,0.4173841738417384,0.5851513019000704,0.8729658792650918,0.700653044027807
hindi,0.6651524983776769,0.6593570608495982,0.8756641870350691,0.4738355376653249,0.6149253731343284,0.5726296123306865,0.9128816083395384,0.703788748564868
spanish,0.6544459190444591,0.5854644667269702,0.748991935483871,0.2883197516492045,0.4163631269263099,0.6358220810166799,0.9278470008693133,0.7545658065276305
korean,0.6530112044817927,0.5191222367074566,0.7617021276595745,0.1606822262118492,0.2653817642698295,0.6432659290347196,0.9678530424799081,0.7728627091450837
portuguese,0.7591331269349845,0.5078491416825106,0.5901639344262295,0.09,0.1561822125813449,0.7657657657657657,0.9794238683127572,0.8595160707836764
germany,0.6693337971821186,0.6277249072169261,0.8462214411247804,0.35812569728523613,0.5032662660047035,0.6256777271741488,0.9428104575163399,0.7521835484291487
turkey,0.7595396729254997,0.5110326810257879,0.8850574712643678,0.08943089430894309,0.16244725738396623,0.7561430793157076,0.9959033183121672,0.8596181046676096
english,0.6440913103796191,0.6415853396934064,0.8247958426132146,0.48600174978127736,0.6116157445637215,0.5510983763132761,0.859398272266905,0.6715549348230913
france,0.7315436241610739,0.7131296722470406,0.9827586206896551,0.475,0.6404494382022472,0.6507760532150776,0.9915540540540541,0.785809906291834
bengali,0.6741996233521658,0.4338007334586582,0.7272727272727273,0.033946251768033946,0.06486486486486487,0.6733620277379244,0.9936485532815809,0.8027366020524516
italy,0.6353035786087656,0.6063948498078746,0.773037542662116,0.3691931540342298,0.4997242140099283,0.592845870594424,0.8944444444444445,0.713065485605821
