model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7042212447447083,0.68504308672598,0.770149742246952,0.5013316288484073,0.6073237618970801,0.6763689159292036,0.8744581005586592,0.7627624115548798
china,0.5983857500695797,0.5876404738345673,0.5924528301886792,0.4650473933649289,0.5210753401924991,0.6018518518518519,0.7165354330708661,0.6542056074766355
hindi,0.72680077871512,0.7263997132253711,0.8661224489795918,0.6101207590569293,0.7159244264507423,0.6348949919224556,0.877885331347729,0.736875
spanish,0.6944260119442601,0.6691546566770441,0.7058823529411765,0.4889406286379511,0.5777166437414031,0.6896064105585671,0.847870182555781,0.7605926696126852
korean,0.6831232492997199,0.6164170100419174,0.6896551724137931,0.34111310592459604,0.45645645645645644,0.6815618221258134,0.9018369690011481,0.7763775636273783
portuguese,0.8006191950464396,0.6770449328789039,0.6805555555555556,0.3675,0.4772727272727273,0.81915654038599,0.9432098765432099,0.8768171384850804
germany,0.7222125587058619,0.7069991381175897,0.812,0.5284492376348084,0.6402342870015769,0.6829207301825456,0.892483660130719,0.7737639892336025
turkey,0.7840702604482132,0.6185830914436251,0.7781954887218046,0.24041811846689895,0.3673469387755102,0.7845849802371542,0.9758295780417862,0.86981924411174
english,0.6785218817000883,0.6785178727000496,0.8038449984980475,0.5853018372703412,0.6773826097962283,0.5878260869565217,0.8054810843014596,0.6796531356038708
france,0.7785234899328859,0.7721737279576735,0.9274809160305344,0.6075,0.7341389728096677,0.7052565707133918,0.9518581081081081,0.8102084831056794
bengali,0.7113935969868174,0.5595905379812451,0.7764705882352941,0.1867043847241867,0.3010262257696693,0.7057318321392017,0.9731827805222301,0.8181548501928211
italy,0.671491757137113,0.6607771037621425,0.7506112469437652,0.5004074979625102,0.6004889975550122,0.6327142001198323,0.8380952380952381,0.7210652099692728
