model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5438285256020803,0.35279381184355385,0.5789473684210527,0.0005859166932992437,0.001170648645772362,0.5438123024556285,0.9996424581005586,0.7044169750413354
china,0.5304759254105205,0.347144731401476,1.0,0.0005924170616113745,0.0011841326228537595,0.5303452115812918,1.0,0.6931053301800982
hindi,0.43575600259571706,0.30350282485875707,0.0,0.0,0.0,0.43575600259571706,1.0,0.6070056497175141
spanish,0.5714996682149966,0.36366515359442625,0.0,0.0,0.0,0.5720690800398539,0.9982613735149232,0.7273303071888525
korean,0.6099439775910365,0.37886037407568507,0.0,0.0,0.0,0.6099439775910365,1.0,0.7577207481513701
portuguese,0.7523219814241486,0.4293286219081272,0.0,0.0,0.0,0.7523219814241486,1.0,0.8586572438162544
germany,0.5326143677161246,0.3481941094709594,1.0,0.0007437709185570844,0.0014864362690449647,0.5324517139377066,1.0,0.6949017826728738
turkey,0.7395517867958813,0.4262732937826945,1.0,0.0011614401858304297,0.002320185614849188,0.7394728870039382,1.0,0.8502264019505399
english,0.42350863917265735,0.2976931985345589,1.0,0.00021872265966754156,0.0004373496610540127,0.4234359233097881,1.0,0.5949490474080638
france,0.4983221476510067,0.33698935932733093,0.75,0.005,0.009933774834437087,0.49747474747474746,0.9983108108108109,0.6640449438202247
bengali,0.6671374764595104,0.4001694436599831,0.0,0.0,0.0,0.6671374764595104,1.0,0.8003388873199662
italy,0.5066344993968637,0.33626901521216973,0.0,0.0,0.0,0.5066344993968637,1.0,0.6725380304243395
