model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5436827140392233,0.35219848554021504,0.0,0.0,0.0,0.5437223545423614,0.9998659217877095,0.7043969710804301
china,0.5301976064569998,0.34648963259367044,0.0,0.0,0.0,0.5301976064569998,1.0,0.6929792651873409
hindi,0.43575600259571706,0.30350282485875707,0.0,0.0,0.0,0.43575600259571706,1.0,0.6070056497175141
spanish,0.5723291307232913,0.3640008440599283,0.0,0.0,0.0,0.5724240915878547,0.9997102289191538,0.7280016881198565
korean,0.6099439775910365,0.37886037407568507,0.0,0.0,0.0,0.6099439775910365,1.0,0.7577207481513701
portuguese,0.7523219814241486,0.4293286219081272,0.0,0.0,0.0,0.7523219814241486,1.0,0.8586572438162544
germany,0.5322664811271526,0.34737200590305367,0.0,0.0,0.0,0.5322664811271526,1.0,0.6947440118061073
turkey,0.7389460932768019,0.42493904562870083,0.0,0.0,0.0,0.7391699485004544,0.9995903318312167,0.8498780912574017
english,0.42338251986379116,0.2974481658692185,0.0,0.0,0.0,0.42338251986379116,1.0,0.594896331738437
france,0.4966442953020134,0.33183856502242154,0.0,0.0,0.0,0.4966442953020134,1.0,0.6636771300448431
bengali,0.6666666666666666,0.4,0.0,0.0,0.0,0.6669806877060763,0.9992942836979535,0.8
italy,0.5066344993968637,0.33626901521216973,0.0,0.0,0.0,0.5066344993968637,1.0,0.6725380304243395
