model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.4922841381321539,0.47197017901538624,0.4652171056953294,0.7544476403536806,0.5755383990247867,0.5692796412220873,0.27231284916201115,0.3684019590059858
china,0.47063735040356247,0.40796726144685025,0.4651919323357189,0.8471563981042654,0.6005879882402352,0.5028901734104047,0.13700787401574804,0.21534653465346534
hindi,0.6411421155094095,0.6055324416102859,0.6394887615689732,0.8343875790684301,0.7240518962075848,0.6457564575645757,0.39091586001489204,0.487012987012987
spanish,0.4703052422030524,0.4520246973465849,0.43233743409490333,0.7636786961583236,0.5521110955253191,0.5873983739837398,0.2512315270935961,0.35193829916785063
korean,0.4684873949579832,0.46565317536068407,0.3964102564102564,0.6938958707360862,0.5045691906005222,0.6236203090507726,0.3243398392652124,0.42673716012084595
portuguese,0.40495356037151703,0.3997756915371897,0.23661971830985915,0.63,0.3440273037542662,0.730909090909091,0.3308641975308642,0.4555240793201133
germany,0.5220038267524787,0.5063104258524962,0.4927784577723378,0.7486054295277055,0.5943312666076174,0.59375,0.32287581699346407,0.4182895850973751
turkey,0.3331314354936402,0.32632099753728816,0.2582041110710422,0.8315911730545877,0.3940561364887177,0.725897920604915,0.15731257681278166,0.2585858585858586
english,0.5353764661369655,0.4983923379534355,0.5805807622504537,0.6996937882764654,0.6345963102559016,0.4324100868127325,0.31158772713732497,0.3621883656509695
france,0.5373322147651006,0.4848394550906239,0.5249357326478149,0.8508333333333333,0.6492845786963434,0.592255125284738,0.2195945945945946,0.3203943314849045
bengali,0.4001883239171375,0.3924310517637169,0.32890766445383224,0.7708628005657708,0.461082910321489,0.6531049250535332,0.21524347212420608,0.3237791932059448
italy,0.5170888620828307,0.5096657934874522,0.508301404853129,0.6487367563162184,0.5699964196204798,0.5320304017372421,0.3888888888888889,0.4493351673544246
