model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.470509611412185,0.4321189892192132,0.4544355082542178,0.800575263662512,0.5797716401789847,0.5363467492260062,0.19356424581005588,0.28446633825944173
china,0.47091566935708323,0.3321055228005775,0.46994072819644367,0.9863744075829384,0.6365895622251959,0.54,0.014173228346456693,0.02762148337595908
hindi,0.5642439974042829,0.3634427976414113,0.5644111906310996,0.9976998274870615,0.7209640556825265,0.5,0.0029784065524944155,0.005921539600296077
spanish,0.464664897146649,0.4629864853243977,0.4142027455121436,0.6088474970896391,0.49300864100549885,0.55,0.35699797160243407,0.43296432964329645
korean,0.42822128851540614,0.41346511179550793,0.3817767653758542,0.7522441651705566,0.5064974312481112,0.5824508320726173,0.22101033295063147,0.3204327923429047
portuguese,0.2718266253869969,0.2522983310919553,0.23712737127371275,0.875,0.373134328358209,0.6402877697841727,0.07325102880658436,0.13146233382570163
germany,0.5096538528439729,0.48645109530578523,0.48482017748715556,0.7720342134622536,0.5956103858843781,0.5821404226312201,0.27908496732026145,0.3772918047271924
turkey,0.2628709872804361,0.21055871971132842,0.2610148890914616,0.9976771196283392,0.41377649325626203,0.8181818181818182,0.0036870135190495697,0.00734094616639478
english,0.5677891285155757,0.46496211146020894,0.5837845748573102,0.8724846894138233,0.6995177553704516,0.46806569343065696,0.15281501340482573,0.23040646754996633
france,0.5088087248322147,0.3554059480194242,0.5061780997017469,0.99,0.6698618550888075,0.6756756756756757,0.021114864864864864,0.04095004095004095
bengali,0.3347457627118644,0.2590212908314991,0.33158396946564883,0.983026874115983,0.4958972529432751,0.5714285714285714,0.011291460832745237,0.022145328719723183
italy,0.4997989545637314,0.3750912974908541,0.4429530201342282,0.05378973105134474,0.09593023255813954,0.5034217279726262,0.9341269841269841,0.6542523624235687
