model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.46892998614790155,0.46739927162988104,0.43737032667507425,0.5726536699691062,0.495952023988006,0.5157532592950266,0.38189944134078213,0.43884651927175616
china,0.46729752296131366,0.39513955147636215,0.46408137317228226,0.8649289099526066,0.604054613156806,0.4899328859060403,0.11496062992125984,0.18622448979591838
hindi,0.5989617131732641,0.46735014052602875,0.5874782608695652,0.9712478435882691,0.7321196358907672,0.7584541062801933,0.1169024571854058,0.20258064516129032
spanish,0.4835766423357664,0.46987802046470484,0.3920225624496374,0.3775708187815289,0.3846610001976675,0.5476593344613649,0.5627354390031875,0.5550950407317422
korean,0.47023809523809523,0.4596925177570339,0.351451973194341,0.4236983842010772,0.3842083842083842,0.5756774619960344,0.5,0.5351766513056836
portuguese,0.33250773993808047,0.3325054366662884,0.22167487684729065,0.675,0.3337453646477132,0.672544080604534,0.21975308641975308,0.33126550868486354
germany,0.5237432596973387,0.48969473162224875,0.48444444444444446,0.2837486054295277,0.3578799249530957,0.5385721130809775,0.734640522875817,0.6215095382914018
turkey,0.2631738340399758,0.21206093847511404,0.26051188299817185,0.9930313588850174,0.41274438812454745,0.7,0.005735354362965997,0.011377488825680617
english,0.48114516332450497,0.4713923933956463,0.5516463689670726,0.5349956255468067,0.5431934266044859,0.3917024320457797,0.4078045874292523,0.3995913601868068
france,0.5343959731543624,0.4662204249193957,0.5221021611001965,0.8858333333333334,0.6569839307787392,0.6063218390804598,0.17820945945945946,0.2754569190600522
bengali,0.3352165725047081,0.2587985127965337,0.33206288708909004,0.9858557284299858,0.49679258731290094,0.6,0.01058574453069866,0.020804438280166437
italy,0.5207076799356655,0.3847800028555965,0.6923076923076923,0.05134474327628362,0.09559939301972686,0.5141903171953256,0.9777777777777777,0.6739606126914661
