model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.46178521956791174,0.4617633994426945,0.4254980783672748,0.5130499627143923,0.46519040834560865,0.5061581676750216,0.4187709497206704,0.45833639053978037
china,0.4909546340105761,0.4613747506799823,0.47433563887877683,0.7719194312796208,0.5875986471251409,0.5449172576832151,0.241994750656168,0.3351508542348237
hindi,0.5882543802725503,0.5691492051300779,0.6179718875502008,0.7078780908568143,0.6598767086571965,0.5339449541284403,0.43335815338793743,0.4784217016029593
spanish,0.44807564698075647,0.4455977193800861,0.40269849507005706,0.6022506790842065,0.48266210542683874,0.5285188592456301,0.3329469718922052,0.40853333333333336
korean,0.4026610644257703,0.3279936974789916,0.3901262063845583,0.9434470377019749,0.5519957983193278,0.6111111111111112,0.05683122847301952,0.10399159663865547
portuguese,0.6681114551083591,0.45423503124637477,0.16666666666666666,0.085,0.11258278145695365,0.7406094968107725,0.8600823045267489,0.7958872810357959
germany,0.5319185945381806,0.5168893230933392,0.4995112414467253,0.3800669393826701,0.4316789862724393,0.5498244666486632,0.665359477124183,0.6020996599142392
turkey,0.26680799515445186,0.22145053635105977,0.25911056207535516,0.9744483159117305,0.409368138570383,0.65625,0.017206063088897994,0.033532934131736525
english,0.4048429814604616,0.39026541829823747,0.4655091506335054,0.2169728783902012,0.2959868715500522,0.3825457054156606,0.6607089663389931,0.4845439650464227
france,0.5696308724832215,0.5528375440492634,0.5528554070473876,0.7583333333333333,0.6394940267041461,0.6070460704607046,0.3783783783783784,0.46618106139438087
bengali,0.3394538606403013,0.27280988655971666,0.33106796116504855,0.9646393210749646,0.4929526563064691,0.609375,0.027522935779816515,0.05266711681296422
italy,0.509449135504624,0.34888917120034063,0.64,0.013039934800325998,0.025559105431309903,0.508123476848091,0.9928571428571429,0.6722192369693714
