model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.4852608811878782,0.48360805631751563,0.4512812209043436,0.5937999360818152,0.512822871863284,0.5363006202116016,0.3941899441340782,0.45439324077174725
china,0.4756470915669357,0.39426263248132465,0.4695841092489137,0.8963270142180095,0.6162932790224033,0.5283018867924528,0.10288713910761155,0.17223198594024605
hindi,0.6330304996755354,0.5592468100876982,0.6167434715821812,0.9235192639447959,0.7395809348376698,0.7217573221757322,0.2568875651526433,0.37891268533772654
spanish,0.4628400796284008,0.46139719598316087,0.3947116916215355,0.4807916181606519,0.43351994401679494,0.5368639667705088,0.44943494639235004,0.4892744479495268
korean,0.45203081232493,0.4519286125503742,0.367586611861421,0.5619389587073609,0.4444444444444444,0.5767562879444926,0.3817451205510907,0.459412780656304
portuguese,0.5931888544891641,0.4626505804440271,0.19331742243436753,0.2025,0.1978021978021978,0.7332775919732442,0.7218106995884773,0.7274989630858565
germany,0.5604452948338842,0.5592289903969979,0.5293691080493111,0.5429527705466716,0.5360749036166698,0.5891006352390504,0.5758169934640522,0.5823830771773261
turkey,0.30375529981829197,0.2872151167185202,0.25577445652173914,0.8745644599303136,0.39579500657030225,0.6983240223463687,0.10241704219582139,0.17863522686673813
english,0.4709294993063438,0.46672553254851723,0.546417138635804,0.4853455818022747,0.5140739024672767,0.39167528438469495,0.451295799821269,0.41937716262975777
france,0.5360738255033557,0.48420476063788165,0.5242268041237114,0.8475,0.6477707006369426,0.5878378378378378,0.2204391891891892,0.32063882063882065
bengali,0.3644067796610169,0.33854305075737445,0.3249863908546543,0.8444130127298444,0.4693396226415094,0.6167247386759582,0.12491178546224418,0.20774647887323944
italy,0.5058303176517893,0.3610029283051308,0.4868421052631579,0.03015484922575387,0.056792018419033,0.5064288676897553,0.969047619047619,0.6652138381912286
