model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5437556198206518,0.352229078773377,0.0,0.0,0.0,0.5437556198206518,1.0,0.704458157546754
china,0.5301976064569998,0.34648963259367044,0.0,0.0,0.0,0.5301976064569998,1.0,0.6929792651873409
hindi,0.43575600259571706,0.30350282485875707,0.0,0.0,0.0,0.43575600259571706,1.0,0.6070056497175141
spanish,0.5724950232249503,0.36406793965608186,0.0,0.0,0.0,0.5724950232249503,1.0,0.7281358793121637
korean,0.6099439775910365,0.3788603740756851,0.0,0.0,0.0,0.6099439775910365,1.0,0.7577207481513702
portuguese,0.7523219814241486,0.4293286219081272,0.0,0.0,0.0,0.7523219814241486,1.0,0.8586572438162544
germany,0.5322664811271526,0.34737200590305367,0.0,0.0,0.0,0.5322664811271526,1.0,0.6947440118061073
turkey,0.7392489400363416,0.4250391781298973,0.0,0.0,0.0,0.7392489400363416,1.0,0.8500783562597946
english,0.42338251986379116,0.29744816586921846,0.0,0.0,0.0,0.42338251986379116,1.0,0.5948963317384369
france,0.4966442953020134,0.33183856502242154,0.0,0.0,0.0,0.4966442953020134,1.0,0.6636771300448431
bengali,0.6671374764595104,0.4001694436599831,0.0,0.0,0.0,0.6671374764595104,1.0,0.8003388873199662
italy,0.5066344993968637,0.33626901521216973,0.0,0.0,0.0,0.5066344993968637,1.0,0.6725380304243395
