model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7349874845075215,0.726987243629241,0.7566368795251451,0.6178757856610205,0.680252162439525,0.7221318459989154,0.8332513966480447,0.7737223248189571
china,0.6381853604230449,0.6152635966169488,0.688715953307393,0.4194312796208531,0.5213549337260678,0.6179337231968811,0.8320209973753281,0.70917225950783
hindi,0.7573004542504866,0.7564511494252874,0.9267872523686477,0.6187464059804485,0.7420689655172413,0.6548672566371682,0.9367088607594937,0.7708333333333334
spanish,0.718978102189781,0.714511421128918,0.6637004078605858,0.6946061311602638,0.6788016685627607,0.7637346142299609,0.7371776296725587,0.7502211736950752
korean,0.6862745098039216,0.6318619758623487,0.6692546583850931,0.3868940754039497,0.49032992036405004,0.6912296564195298,0.8777267508610792,0.7733940313606474
portuguese,0.7616099071207431,0.6737769159293823,0.519893899204244,0.49,0.5045045045045045,0.8352180936995154,0.8510288065843621,0.8430493273542601
germany,0.7596103670203513,0.7533346670759791,0.8049463369108726,0.6415024172554853,0.7139900662251656,0.7326677759290072,0.8633986928104576,0.7926792679267927
turkey,0.8013325257419746,0.7129829415209792,0.6683087027914614,0.4727061556329849,0.5537414965986395,0.8314147790568139,0.9172470299057763,0.872224386443319
english,0.7394375078824568,0.7387958132614496,0.8341333333333333,0.68416447944007,0.7517423696226868,0.6544627901411821,0.8147155198093536,0.7258492569002123
france,0.8603187919463087,0.8594164132123836,0.9365558912386707,0.775,0.8481532147742818,0.8058950395398994,0.9467905405405406,0.8706796116504855
bengali,0.6384180790960452,0.6075146288882045,0.4628501827040195,0.5374823196605375,0.4973821989528796,0.7490406753645433,0.6887791107974595,0.7176470588235294
italy,0.72778447929232,0.7267638364736497,0.7481949458483754,0.6756316218418907,0.7100642398286938,0.7113850616388687,0.7785714285714286,0.7434634331186055
