model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7521932489246397,0.7468321532189084,0.7617013486300116,0.6648556514328327,0.709991183413441,0.7459009773039335,0.8254748603351956,0.7836731230243758
china,0.6498747564709156,0.6352692813697884,0.6812816188870152,0.4786729857819905,0.5622825330549757,0.6343996676360615,0.8015748031496063,0.7082560296846011
hindi,0.7900713822193381,0.7900527938699603,0.9155251141552512,0.691776883266245,0.7880773010153947,0.6968325791855203,0.91734921816828,0.7920282867245259
spanish,0.7305905773059058,0.7267352327459303,0.6742230347349177,0.7155607295304618,0.6942771084337349,0.7774066201032493,0.7418139669660968,0.7591933570581257
korean,0.7023809523809523,0.6622930021367521,0.6741424802110818,0.45870736086175945,0.5459401709401709,0.7125834127740706,0.8582089552238806,0.7786458333333334
portuguese,0.7678018575851393,0.6805588301846786,0.5336927223719676,0.495,0.5136186770428015,0.837620578778135,0.8576131687242798,0.8474989833265555
germany,0.7756131501130631,0.7710341873079964,0.8113039608366711,0.6779471922647824,0.7386547811993517,0.7527127355796688,0.8614379084967321,0.8034135934166413
turkey,0.8019382192610539,0.7171323257806176,0.6635071090047393,0.4878048780487805,0.5622489959839357,0.8347695766204571,0.9127406800491602,0.8720156555772994
english,0.770588977172405,0.7685178671690345,0.8351594838081324,0.7502187226596675,0.7904136421246687,0.7012035583464155,0.7983318439082514,0.7466220922134001
france,0.8636744966442953,0.863110677349499,0.9243452958292919,0.7941666666666667,0.8543254146122815,0.8174427198817442,0.9341216216216216,0.8718959400867166
bengali,0.6520715630885122,0.6259792620551368,0.48130841121495327,0.5827439886845828,0.527191298784389,0.7673501577287066,0.6866619618913197,0.7247672253258846
italy,0.7523120225170888,0.7518176374989307,0.7658833768494343,0.7171964140179299,0.7407407407407407,0.7406576980568012,0.7865079365079365,0.7628945342571208
