model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7526549855403534,0.7521169977713178,0.7100889627529573,0.7737828912325556,0.7405689233278956,0.7947416751244503,0.734927374301676,0.7636650722147401
china,0.5780684664625662,0.5615696918183106,0.5330514988470407,0.8216824644549763,0.6466200466200466,0.6962663975782039,0.36220472440944884,0.47651933701657456
hindi,0.8423101881894873,0.8355246513392998,0.8181818181818182,0.926394479585969,0.8689320388349514,0.8849955076370171,0.7334326135517498,0.8021172638436482
spanish,0.727770404777704,0.7263975352415075,0.6547619047619048,0.7683352735739232,0.7070166041778254,0.8012649800266312,0.6974789915966386,0.7457784663051897
korean,0.6929271708683473,0.6716512805696018,0.6167487684729064,0.5619389587073609,0.588069516204791,0.734926670287887,0.7766934557979334,0.7552330449344125
portuguese,0.7653250773993808,0.6765748538051867,0.5284552845528455,0.4875,0.5071521456436932,0.8354735152487961,0.8567901234567902,0.8459975619666802
germany,0.7775265263524092,0.7773667741686912,0.7426015141087405,0.8025288211230941,0.7714030384271671,0.8132254660569821,0.7555555555555555,0.7833305099102151
turkey,0.8086008479709267,0.7263884168879826,0.6814580031695721,0.4994192799070848,0.5764075067024129,0.8386372145263946,0.9176566980745596,0.8763693270735524
english,0.7776516584689116,0.7694215510334452,0.7892893923789908,0.8381452318460193,0.812983982178848,0.7592713077423552,0.6952636282394995,0.7258591198880423
france,0.9190436241610739,0.9190332387953882,0.9157720891824938,0.9241666666666667,0.9199502281211116,0.9224211423699915,0.9138513513513513,0.9181162494696649
bengali,0.666195856873823,0.5824989083650427,0.4978540772532189,0.32814710042432815,0.3955669224211424,0.7135102533172497,0.8348623853211009,0.7694308943089431
italy,0.717330116606353,0.7162980844825513,0.6858156028368795,0.7881010594947025,0.7334091770951839,0.7585886722376973,0.6484126984126984,0.6991869918699187
