model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7906631995917276,0.786412487054502,0.8065781532890767,0.711888782358581,0.7562811226799456,0.779934090076895,0.8567597765363129,0.8165438514290583
china,0.6696354021708878,0.6694547367339263,0.6375617792421746,0.6877962085308057,0.6617269877457965,0.7025959367945824,0.6535433070866141,0.677182485722056
hindi,0.8776768332251784,0.8762143372092193,0.9058402860548271,0.8740655549166187,0.8896693005560433,0.844017094017094,0.8823529411764706,0.8627593738623953
spanish,0.7679163901791639,0.7601752593107219,0.7487331081081081,0.6880093131548312,0.7170879676440849,0.780327868852459,0.8275862068965517,0.803262550977359
korean,0.7205882352941176,0.6843242500531876,0.7041343669250646,0.48922800718132853,0.5773305084745762,0.7267050912584054,0.8685419058553386,0.7913179916317992
portuguese,0.8117647058823529,0.6988167626114653,0.7123893805309734,0.4025,0.5143769968051118,0.827933765298776,0.9465020576131687,0.8832565284178188
germany,0.8131849017220386,0.8103979856774681,0.841726618705036,0.7396801785050204,0.7874109263657957,0.7932663910218547,0.8777777777777778,0.8333850449891406
turkey,0.8243488794669896,0.7219242454249833,0.8215102974828375,0.4169570267131243,0.5531587057010786,0.82478184991274,0.9680458828349038,0.8906897851488881
english,0.8091814856854584,0.8052398038419519,0.841025641025641,0.8250218722659668,0.8329468919068124,0.7677119628339141,0.7876079833184391,0.7775327157770916
france,0.9282718120805369,0.9282389710703758,0.9541041482789056,0.9008333333333334,0.9267038148306901,0.9048760991207034,0.956081081081081,0.9297741273100616
bengali,0.6972693032015066,0.544897840173146,0.6702127659574468,0.1782178217821782,0.28156424581005585,0.699896694214876,0.9562455892731122,0.8082314345362362
italy,0.7716123843988741,0.7706270905725328,0.8003646308113036,0.7155664221678891,0.7555938037865749,0.7489208633093525,0.8261904761904761,0.7856603773584906
