model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.75693212471749,0.7548469507760348,0.7360602798708289,0.7284542452327687,0.7322375113776303,0.7741149364172094,0.7808268156424581,0.7774563901744393
china,0.6059003618146396,0.6003613307024269,0.5584192439862543,0.7701421800947867,0.647410358565737,0.6932806324110672,0.4603674540682415,0.5533123028391167
hindi,0.8390655418559377,0.8366077230906044,0.8611272515979081,0.8522139160437032,0.8566473988439306,0.8111682586333578,0.8220402084884587,0.8165680473372781
spanish,0.730092899800929,0.7267473339036571,0.670617816091954,0.7244858362436942,0.6965118448050737,0.781134401972873,0.7342799188640974,0.7569828230022405
korean,0.7051820728291317,0.6713778137333144,0.6646489104116223,0.49281867145421904,0.565979381443299,0.7216748768472906,0.8409873708381171,0.7767762460233298
portuguese,0.7727554179566564,0.676793041866045,0.5492537313432836,0.46,0.5006802721088436,0.83125,0.8757201646090536,0.8529058116232465
germany,0.7823969385980171,0.781659982431398,0.7637564196625092,0.7742655262179249,0.7689750692520776,0.7992060866688719,0.7895424836601307,0.7943448956107184
turkey,0.8195033313143549,0.7278827811598989,0.7523809523809524,0.45876887340301975,0.56998556998557,0.8321930140439323,0.9467431380581729,0.8857799923342277
english,0.7708412157901374,0.7666711458097772,0.8118632556033507,0.784339457567804,0.7978640560685282,0.719248291571754,0.7524575513851653,0.7354782355510263
france,0.9148489932885906,0.9148396283472093,0.9301121656600517,0.8983333333333333,0.913946587537092,0.9004081632653061,0.9315878378378378,0.9157326691573267
bengali,0.664783427495292,0.5818319572178318,0.49469214437367304,0.32956152758132956,0.39558573853989815,0.7132486388384754,0.8320395201129146,0.7680781758957654
italy,0.7285886610373945,0.7285542539799834,0.7142857142857143,0.7497962510187449,0.731610337972167,0.74395329441201,0.707936507936508,0.7254981699877999
