model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.776106345233177,0.7760254554637915,0.7213911915898671,0.8297113028656653,0.7717690192483959,0.8365207608917979,0.7311284916201117,0.7802818916791873
china,0.6209295853047593,0.6103148590539895,0.5652522017614091,0.8364928909952607,0.674629718107979,0.7479452054794521,0.42992125984251967,0.546
hindi,0.872809863724854,0.8699376464103624,0.8739589117157135,0.9051178838412881,0.8892655367231639,0.8711943793911007,0.8309754281459419,0.850609756097561
spanish,0.7408759124087592,0.7408686098763312,0.6457077232271031,0.872720217306946,0.7422442244224422,0.8711198428290766,0.6424224862358736,0.7394929953302202
korean,0.7027310924369747,0.6940530889705534,0.6050753370340999,0.6849192100538599,0.6425263157894737,0.7799373040752351,0.7141216991963261,0.7455798621516332
portuguese,0.7962848297213623,0.7282675679836101,0.5872235872235873,0.5975,0.5923172242874845,0.8667218543046358,0.8617283950617284,0.8642179116797358
germany,0.8032701339363367,0.803240963283384,0.7605351170568562,0.845667534399405,0.8008452192287374,0.849583182312432,0.7660130718954249,0.8056367073380306
turkey,0.8113264688067837,0.7451098198858466,0.6569920844327177,0.578397212543554,0.6151945645460161,0.8573113207547169,0.8934862761163458,0.8750250752256771
english,0.8041367133308109,0.7938645383872387,0.7944216890969378,0.8908573928258967,0.8398804000412413,0.8219129193433262,0.6860291927316056,0.747848676733236
france,0.9207214765100671,0.9206906511897828,0.9106417546709992,0.9341666666666667,0.9222542163718634,0.9314830875975716,0.9070945945945946,0.9191270860077022
bengali,0.693502824858757,0.6472656354631297,0.5432098765432098,0.49787835926449786,0.5195571955719557,0.7594850948509485,0.7911079745942131,0.7749740753543035
italy,0.7700040209087253,0.7693835547151606,0.7357811375089993,0.8329258353708231,0.7813455657492355,0.8132969034608379,0.7087301587301588,0.7574215436810857
